Squad,Comp,Team_or_Opponent,PrgP,Final_Third,Cmp_percent_Total,Cmp_Short,Cmp_percent_Short,Cmp_Medium,Cmp_percent_Medium,Cmp_Long,Cmp_percent_Long,xAG,xA_Expected,Poss,Touches_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Carries_Carries,PrgDist_Carries,Final_Third_Carries,CPA_Carries,Succ_Take,Tkl_Tackles,TklW_Tackles,Int,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl+Int,Sh_Blocks,Pass_Blocks,Clr,SCA_SCA,SCA90_SCA,PassLive_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Sh_per_90_Standard,SoT_per_90_Standard,SoT_percent_Standard,G_per_Sh_Standard,G_per_SoT_Standard,xG_Expected,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Recov,Won_percent_Aerial,Fls,Att,Live_Pass,TB_Pass,Sw_Pass
Alavés,La Liga,opponent,1323,1034,78.6,6140,88.1,6230,84.9,1563,53.4,33.3,32.3,54.7,22689,7584,10446,4876,659,11958,33531,440,137,378,552,328,287,258,224,70,839,89,291,1123,736,19.37,496,62,39,47,7,81,2.13,52,5,8,6,10,0,10.39,3.18,30.6,0.09,0.29,47.0,0.1,-1.0,-3.5,1420,52.1,504,18138,15935,52,139
Angers,Ligue 1,opponent,1776,1390,84.9,8061,90.1,7513,89.1,1314,62.5,42.2,46.5,58.8,24043,5934,11764,6568,921,14633,42638,623,185,313,628,389,251,241,275,112,879,87,228,674,865,25.44,654,50,51,26,19,96,2.82,67,9,5,10,5,0,14.06,5.47,38.9,0.1,0.26,57.8,0.12,-4.8,-4.9,1504,56.2,420,20419,18893,52,113
Arsenal,Premier League,opponent,938,905,79.9,5573,89.2,5271,87.3,1095,47.7,24.5,24.6,43.1,19306,7642,7501,4397,632,10350,30357,413,162,255,698,420,261,406,214,78,959,180,230,1038,646,17.0,480,32,40,31,16,61,1.61,37,8,2,5,7,2,9.45,3.08,32.6,0.09,0.26,34.4,0.09,-0.4,-1.0,1337,49.7,416,15255,13697,47,74
Aston Villa,Premier League,opponent,1315,1189,83.1,6870,91.8,5962,88.3,1278,55.9,36.4,35.8,49.5,21614,6804,9497,5515,886,12031,34386,462,205,236,685,387,347,322,258,105,1032,136,283,869,818,21.53,637,38,46,29,16,86,2.26,66,3,5,4,5,3,12.11,4.03,33.3,0.11,0.32,50.1,0.11,0.9,1.2,1539,52.8,510,17377,15839,66,96
Atalanta,Serie A,opponent,988,897,79.7,5825,88.4,6097,87.3,1293,50.9,27.5,23.7,44.7,21205,8216,9243,3956,555,11137,27101,355,115,234,692,399,330,381,244,67,1022,125,262,895,697,18.34,510,26,53,38,13,60,1.58,44,4,4,4,2,2,10.61,3.82,36.0,0.08,0.23,38.6,0.1,-3.6,-4.1,1618,45.6,416,16956,15197,63,51
Athletic Club,La Liga,opponent,1177,911,79.2,6402,87.9,6730,86.3,1481,51.9,22.9,21.5,51.6,23225,9110,10141,4156,588,12464,29674,345,111,283,789,471,361,428,289,72,1150,112,236,951,588,15.47,408,39,34,30,11,48,1.26,28,5,2,5,7,1,8.89,2.84,32.0,0.07,0.23,37.8,0.1,-9.8,-8.9,1624,50.9,406,18891,16899,52,139
Atlético Madrid,La Liga,opponent,1543,1462,83.2,7097,90.3,7307,90.0,1542,56.1,23.9,29.8,47.4,23851,6916,11439,5686,619,13506,34768,479,100,308,579,365,369,276,206,97,948,110,327,969,678,17.84,506,45,30,36,6,45,1.18,27,4,3,4,7,0,10.18,2.92,28.7,0.06,0.21,33.4,0.08,-5.4,-6.5,1547,48.6,450,19538,17845,33,124
Augsburg,Bundesliga,opponent,1438,1201,81.3,7005,89.6,6730,86.5,1435,56.3,35.0,41.4,55.7,22943,7467,10398,5239,816,12814,31296,405,140,197,577,357,270,254,250,73,847,97,321,857,795,23.38,600,37,54,34,8,83,2.44,57,6,4,12,4,0,13.15,4.44,33.8,0.1,0.29,48.9,0.1,0.1,-1.0,1450,48.1,378,19055,17433,62,100
Auxerre,Ligue 1,opponent,1522,1272,82.8,7333,90.0,7068,88.6,1159,53.3,43.9,43.8,57.5,22989,6490,11361,5341,772,13114,38531,441,159,290,670,414,279,293,257,120,949,91,264,702,812,23.88,592,49,44,42,11,87,2.56,63,5,8,5,6,0,13.09,4.85,37.1,0.09,0.25,58.6,0.12,-10.6,-10.3,1567,50.6,387,19181,17456,104,89
Barcelona,La Liga,opponent,780,595,71.6,3752,84.6,3313,81.1,1208,48.5,32.6,21.8,31.7,16221,7293,6081,3011,566,7646,19702,246,147,249,691,405,381,378,245,68,1072,175,322,1016,510,13.42,385,23,22,19,13,73,1.92,59,3,3,2,4,2,7.63,2.74,35.9,0.12,0.34,41.9,0.13,-2.9,-3.8,1499,47.1,479,11890,10010,62,135
Bayern Munich,Bundesliga,opponent,669,579,75.6,3892,86.9,3959,84.4,1027,46.6,18.1,20.4,32.1,16085,7592,6086,2581,425,7861,16041,200,81,200,618,353,404,335,210,73,1022,163,310,942,397,11.68,286,19,22,20,11,55,1.62,35,6,3,5,4,2,6.74,2.32,34.5,0.14,0.39,25.5,0.11,6.5,7.0,1315,45.1,357,12083,10634,24,49
Betis,La Liga,opponent,1411,1110,78.9,6224,87.8,6031,85.9,1341,52.0,38.4,32.4,47.6,22048,7355,9895,5002,750,11838,30507,421,165,302,722,459,332,362,285,75,1054,132,326,866,735,19.34,533,46,48,30,11,85,2.24,55,7,7,7,7,2,11.0,3.61,32.8,0.11,0.33,50.6,0.12,-1.6,-2.4,1618,50.7,552,17627,15754,51,107
Bochum,Bundesliga,opponent,1447,1121,79.0,6403,87.8,5999,85.2,1331,53.5,49.1,49.6,54.5,22119,7245,9965,5100,898,11590,29503,420,182,266,474,308,300,211,203,60,774,125,305,1068,848,24.94,601,49,54,46,10,118,3.47,80,11,8,8,8,3,14.15,4.35,30.8,0.14,0.44,63.2,0.12,4.8,6.8,1462,47.2,302,17796,16058,55,88
Bologna,Serie A,opponent,876,646,74.6,4277,84.7,4732,84.5,1160,46.6,25.4,22.5,41.9,18117,7710,7369,3241,566,9049,21444,311,141,255,627,375,305,320,253,54,932,136,255,999,571,15.03,384,39,36,31,13,79,2.08,58,4,8,7,2,0,8.34,2.71,32.5,0.14,0.42,36.7,0.11,8.3,8.7,1343,51.5,643,14028,12108,41,56
Bournemouth,Premier League,opponent,1295,1012,78.0,6832,87.5,5701,84.2,1179,47.2,36.5,36.3,51.5,22681,8227,9246,5446,934,12104,32384,452,203,326,650,396,279,321,257,72,929,160,254,1014,878,23.11,647,54,46,39,14,84,2.21,59,5,10,4,5,1,12.71,4.42,34.8,0.09,0.25,48.5,0.1,-2.5,-3.3,1662,51.4,410,18037,16003,68,59
Brentford,Premier League,opponent,1562,1279,80.4,7373,90.0,6137,86.2,1248,48.6,43.3,41.8,52.1,23090,7185,8991,7103,1189,12890,36588,579,294,282,593,362,287,273,217,103,880,106,260,1036,1152,30.32,913,57,69,30,16,96,2.53,85,1,3,5,1,1,17.0,5.42,31.9,0.08,0.26,55.4,0.09,-1.4,-1.7,1678,47.6,355,18708,17074,63,74
Brest,Ligue 1,opponent,1521,1098,81.5,6084,88.3,6299,88.3,1345,57.7,38.5,37.2,51.6,21061,6857,9665,4731,767,11648,32094,389,140,275,491,294,300,223,204,64,791,88,259,808,726,21.35,530,22,48,32,13,97,2.85,75,6,3,8,5,0,11.88,3.88,32.7,0.12,0.37,57.4,0.13,-0.4,-1.0,1466,48.8,443,17260,15604,56,109
Brighton,Premier League,opponent,1209,1004,80.7,6260,89.9,6537,88.7,1220,49.3,41.3,30.2,47.7,22046,8740,9148,4374,877,12304,31459,355,243,353,726,408,320,370,274,82,1046,147,262,981,746,19.63,539,49,44,35,10,97,2.55,64,6,7,9,10,1,11.0,3.63,33.0,0.11,0.35,54.6,0.12,2.4,0.3,1532,47.2,427,17647,15881,53,82
Cagliari,Serie A,opponent,1504,1228,81.9,7324,90.0,7025,87.7,1399,53.2,40.2,34.3,55.1,23820,7184,11262,5576,864,14003,38241,548,216,211,568,338,268,270,220,78,836,117,279,920,890,23.42,667,37,69,38,10,99,2.61,64,7,7,15,5,1,13.08,3.87,29.6,0.1,0.34,55.3,0.11,0.7,-1.1,1578,49.8,423,19649,17808,62,71
Celta Vigo,La Liga,opponent,1222,1103,81.0,6617,89.6,6584,88.8,1433,51.0,33.3,31.9,46.4,22435,7311,10538,4807,676,12857,31170,463,144,290,608,382,390,307,234,67,998,122,332,740,719,18.92,532,41,41,22,7,92,2.42,69,6,7,8,2,0,10.5,3.71,35.3,0.13,0.37,43.4,0.1,11.6,12.0,1698,53.9,455,18445,16682,57,102
Chelsea,Premier League,opponent,1206,929,80.1,6079,89.6,5545,87.5,1116,48.2,35.3,29.4,42.9,20227,8063,8175,4232,771,11048,31015,391,179,263,633,368,286,318,241,74,919,172,263,880,698,18.37,514,40,33,40,16,73,1.92,48,5,9,4,5,2,10.32,3.92,38.0,0.1,0.26,47.3,0.11,-4.3,-4.6,1483,49.2,457,16240,14557,55,59
Como,Serie A,opponent,1116,885,79.5,5140,88.1,5950,87.3,1418,54.0,28.9,25.1,45.4,20145,7535,8695,4136,636,11073,28814,369,132,288,648,385,325,260,287,101,973,139,314,757,655,17.24,449,40,40,45,27,90,2.37,65,5,7,6,5,2,9.89,3.58,36.2,0.12,0.33,43.0,0.1,9.0,7.4,1502,50.8,547,16090,14221,40,132
Crystal Palace,Premier League,opponent,1578,1360,81.6,7542,88.2,7895,88.3,1520,56.2,38.5,34.4,57.2,25561,7644,11861,6291,904,14221,39539,501,175,319,580,319,342,203,264,113,922,145,272,874,850,22.37,610,45,78,24,16,84,2.21,55,6,5,10,4,4,12.66,3.89,30.8,0.1,0.32,49.1,0.1,-1.1,-0.5,1723,55.4,418,21227,19439,66,78
Dortmund,Bundesliga,opponent,1058,780,76.9,4948,87.6,4591,83.7,1108,49.9,30.9,35.6,41.1,18251,6828,7494,4124,694,9340,23088,355,138,231,641,374,312,348,235,58,953,146,283,908,660,19.41,506,29,33,35,14,85,2.5,66,4,4,3,5,3,10.94,4.0,36.6,0.12,0.34,42.8,0.11,7.2,6.4,1424,46.9,357,14210,12657,44,74
Eint Frankfurt,Bundesliga,opponent,1289,1198,80.2,6684,89.5,5871,86.3,1328,53.0,35.6,40.0,50.3,21445,6565,9663,5361,799,11276,28875,422,143,228,534,323,264,268,185,81,798,125,283,793,815,23.97,600,39,59,33,8,75,2.21,50,7,5,10,3,0,13.71,4.71,34.3,0.09,0.27,48.0,0.1,-4.0,-2.7,1479,48.3,324,17664,15994,67,73
Empoli,Serie A,opponent,1402,1191,80.8,6767,88.5,7254,87.2,1703,56.5,37.2,33.4,58.3,24163,7992,10874,5490,824,13687,32220,461,162,234,587,373,255,271,250,66,842,110,245,918,916,24.11,670,48,62,37,11,100,2.63,75,5,5,10,2,3,13.5,4.11,30.4,0.11,0.37,50.1,0.09,7.9,9.3,1532,55.2,487,19935,17913,48,93
Espanyol,La Liga,opponent,1821,1501,83.4,8341,91.0,7778,88.3,1534,57.0,39.6,41.3,60.2,25692,6559,12682,6675,1016,15118,44099,604,195,300,507,309,292,234,209,64,799,97,249,773,1024,26.95,757,51,61,49,18,92,2.42,64,4,11,5,7,1,14.76,4.89,33.2,0.08,0.25,53.8,0.09,-3.8,-3.0,1576,50.6,457,21580,19688,49,143
Everton,Premier League,opponent,1627,1368,83.0,8349,90.8,7862,88.6,1365,52.0,34.6,34.2,59.1,25864,8222,11641,6229,931,15106,42431,520,195,318,695,424,235,322,276,97,930,103,246,924,846,22.26,624,45,60,29,14,74,1.95,58,2,5,5,1,3,12.58,4.24,33.7,0.09,0.27,46.2,0.1,-2.2,-0.6,1565,47.9,395,21623,19822,68,106
Fiorentina,Serie A,opponent,1277,1034,80.4,6068,88.2,6133,87.0,1359,53.8,30.5,30.2,49.0,21017,6702,9865,4642,739,12226,34823,429,148,240,560,316,237,260,222,78,797,111,238,770,767,20.18,562,45,43,44,13,65,1.71,51,2,6,3,2,1,11.58,3.82,33.0,0.09,0.27,42.8,0.09,-2.8,-1.4,1359,48.9,588,17215,15466,33,91
Freiburg,Bundesliga,opponent,1182,1060,80.6,6283,88.0,6186,87.5,1336,54.6,30.7,36.4,51.3,21416,7469,9517,4592,727,12223,27259,354,120,222,496,298,260,205,211,80,756,122,275,916,753,22.15,543,40,52,32,23,93,2.74,57,6,12,11,5,2,12.59,4.29,34.1,0.12,0.34,42.4,0.09,9.6,10.6,1404,50.5,345,17514,16046,35,83
Fulham,Premier League,opponent,1396,1144,81.3,6948,90.2,6126,86.8,1212,51.1,34.4,30.0,47.7,22348,7282,10037,5271,825,12382,35170,459,180,276,535,306,336,237,226,72,871,148,275,995,756,19.89,519,55,41,56,9,90,2.37,64,7,5,7,5,2,11.29,4.08,36.1,0.11,0.32,47.2,0.11,4.8,4.9,1585,50.0,371,18069,16368,75,96
Genoa,Serie A,opponent,1375,1084,80.3,6398,88.1,6966,87.2,1456,54.3,33.9,33.2,54.4,23029,7364,10399,5459,832,13102,31780,484,166,283,549,326,284,230,255,64,833,98,269,854,853,22.45,642,39,46,41,6,79,2.08,60,5,4,7,3,0,12.42,3.95,31.8,0.08,0.27,47.2,0.09,-1.2,-1.1,1521,51.1,478,18823,16947,38,83
Getafe,La Liga,opponent,1284,997,76.4,6043,86.8,6205,83.9,1371,47.5,31.3,28.0,58.2,22942,8144,10481,4497,630,11645,30057,343,123,332,669,391,282,357,248,64,951,127,224,1230,647,17.03,473,34,30,36,6,68,1.79,49,4,3,5,7,0,9.53,3.08,32.3,0.09,0.26,46.2,0.11,-7.2,-8.4,1419,48.9,529,18284,16088,52,111
Girona,La Liga,opponent,1183,1070,82.0,6108,91.0,6052,88.1,1281,53.1,36.5,33.6,43.7,20788,7034,8948,5006,779,11640,29907,402,202,265,588,348,277,291,199,98,865,108,273,911,785,20.66,575,54,40,33,22,99,2.61,72,6,5,9,4,3,11.84,4.16,35.1,0.12,0.35,50.4,0.1,8.6,10.3,1414,51.7,460,16818,15144,40,84
Gladbach,Bundesliga,opponent,1520,1151,81.1,6579,88.8,6307,86.6,1235,55.0,45.2,51.9,50.4,21784,5968,9969,6055,1000,11945,30982,463,171,233,500,303,302,203,222,75,802,112,324,787,1020,30.0,760,46,78,42,10,91,2.68,53,7,7,16,6,2,16.97,5.38,31.7,0.08,0.26,63.4,0.1,-8.4,-9.0,1462,47.2,338,17850,16292,48,67
Heidenheim,Bundesliga,opponent,1620,1319,81.6,7266,89.2,6849,87.3,1348,54.9,43.1,46.5,56.5,23335,6152,11630,5773,847,13152,34543,489,154,264,490,303,243,189,231,70,733,99,298,813,832,24.47,626,53,42,36,6,120,3.53,93,5,5,10,7,0,13.35,4.85,36.3,0.13,0.35,57.6,0.12,6.4,5.0,1527,53.9,405,19390,17744,69,66
Hellas Verona,Serie A,opponent,1593,1306,83.2,7656,89.8,8215,88.7,1657,59.5,39.1,32.9,61.3,25434,7310,12632,5689,799,14985,41167,502,158,281,487,263,221,242,179,66,708,101,236,734,900,23.68,659,52,57,49,12,106,2.79,78,6,7,12,1,2,13.18,4.45,33.7,0.13,0.37,53.4,0.1,11.6,12.7,1387,51.0,374,21566,19534,48,93
Hoffenheim,Bundesliga,opponent,1347,1178,80.2,6350,89.0,5860,86.0,1479,56.9,41.4,48.9,51.3,21736,6905,9596,5414,898,11712,27547,428,143,242,531,321,273,230,232,69,804,115,290,1051,858,25.24,621,52,69,37,13,120,3.53,88,8,9,9,5,1,14.26,4.91,34.4,0.13,0.37,55.8,0.11,9.2,10.9,1427,50.5,385,17470,15827,66,99
Holstein Kiel,Bundesliga,opponent,1572,1350,80.6,6586,89.3,6421,86.0,1395,54.6,44.5,53.6,56.4,22214,5535,10403,6454,987,12764,29565,409,172,253,442,258,237,154,180,108,679,90,269,753,1002,29.47,716,49,75,55,10,124,3.65,86,7,8,12,9,2,16.12,5.53,34.3,0.13,0.38,61.0,0.1,16.0,15.4,1388,52.6,370,18342,16528,53,86
Inter,Serie A,opponent,1064,868,80.6,5411,89.3,5149,86.8,1335,56.0,25.5,24.2,40.6,18906,6651,8467,3974,604,10804,29151,416,153,213,441,265,259,193,184,64,700,144,248,887,710,18.68,544,40,44,23,10,56,1.47,37,2,6,8,2,1,10.39,3.32,31.9,0.08,0.25,36.4,0.09,-2.4,-2.1,1284,41.0,435,15118,13487,25,105
Ipswich Town,Premier League,opponent,1726,1449,83.8,8645,91.2,8006,89.3,1365,52.3,53.5,47.9,59.4,25927,7646,11051,7443,1168,15621,40213,547,286,323,637,366,242,274,260,103,879,110,256,744,1080,28.42,837,63,65,33,15,142,3.74,108,7,7,12,7,1,15.82,5.37,33.9,0.12,0.36,72.7,0.12,7.3,5.7,1596,49.1,414,21940,20230,82,104
Juventus,Serie A,opponent,1097,914,80.5,5176,88.8,5815,87.7,1323,55.4,21.4,24.0,42.8,19571,6795,8487,4493,608,10828,29297,459,134,208,593,359,298,265,239,89,891,144,239,797,681,17.92,481,25,54,32,17,56,1.47,42,3,0,5,6,0,10.37,3.0,28.9,0.08,0.26,34.0,0.08,1.0,-0.1,1312,50.2,392,15648,13854,28,83
Las Palmas,La Liga,opponent,1470,1190,79.0,6398,88.4,6069,85.1,1278,51.3,47.5,42.7,49.3,22205,6608,10200,5612,931,11832,34121,471,197,285,563,360,307,253,230,80,870,100,253,974,937,24.66,705,50,52,46,15,102,2.68,79,4,5,6,6,2,13.95,4.55,32.6,0.1,0.31,66.8,0.11,-8.8,-6.3,1625,51.5,489,17854,15927,69,118
Lazio,Serie A,opponent,1133,931,81.0,5396,88.4,6085,88.0,1257,55.0,28.2,25.7,44.9,19987,7206,8767,4204,661,11670,31920,381,124,250,576,332,272,263,225,88,848,134,222,985,683,17.97,510,29,37,29,11,78,2.05,63,4,2,5,3,1,10.0,3.03,30.3,0.11,0.37,37.7,0.09,9.3,8.3,1390,50.9,509,16062,14421,30,94
Le Havre,Ligue 1,opponent,1639,1381,84.5,7062,90.3,7334,90.2,1227,58.2,45.3,42.8,56.9,22664,5983,11021,5860,832,13247,35670,469,140,258,547,314,249,213,239,95,796,83,218,788,848,24.94,619,42,68,34,20,119,3.5,87,3,8,10,6,5,14.18,4.97,35.1,0.13,0.38,62.8,0.13,7.2,6.5,1373,49.2,425,18901,17311,59,84
Lecce,Serie A,opponent,1685,1317,80.9,7020,89.4,6974,87.0,1395,53.9,37.8,37.1,56.2,23576,6501,11073,6205,899,13689,35907,510,165,283,538,327,292,226,229,83,830,106,269,807,932,24.53,662,48,77,44,14,98,2.58,62,4,6,11,12,3,13.71,4.53,33.0,0.09,0.27,57.1,0.1,-2.1,-2.6,1600,49.1,453,19450,17577,51,103
