Squad,Comp,Team_or_Opponent,PrgP,Final_Third,Cmp_percent_Total,Cmp_Short,Cmp_percent_Short,Cmp_Medium,Cmp_percent_Medium,Cmp_Long,Cmp_percent_Long,xAG,xA_Expected,Poss,Touches_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Carries_Carries,PrgDist_Carries,Final_Third_Carries,CPA_Carries,Succ_Take,Tkl_Tackles,TklW_Tackles,Int,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl+Int,Sh_Blocks,Pass_Blocks,Clr,SCA_SCA,SCA90_SCA,PassLive_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Sh_per_90_Standard,SoT_per_90_Standard,SoT_percent_Standard,G_per_Sh_Standard,G_per_SoT_Standard,xG_Expected,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Recov,Won_percent_Aerial,Fls,Att,Live_Pass,TB_Pass,Sw_Pass,Cluster,Cluster_Name,PCA1,PCA2
Leganés,La Liga,team,1030,796,75.5,5038,87.9,4716,84.2,1169,42.7,23.3,21.8,42.6,19312,7029,8720,3764,482,9782,24033,364,105,302,633,384,332,301,250,82,965,157,279,1201,608,16.0,399,50,35,51,16,73,1.92,48,3,9,4,7,2,9.08,2.89,31.9,0.1,0.3,36.0,0.09,2.0,2.4,1500,43.5,503,14840,13035,48,91,0,Possession Builders,-6.132925655249177,1.0253143077804021
Leicester City,Premier League,team,1082,953,79.7,6703,89.6,5797,87.0,1073,45.3,25.1,24.1,45.4,21748,8066,9845,4048,632,12276,30421,365,143,264,728,431,327,361,278,89,1055,198,307,987,585,15.39,427,44,26,34,5,56,1.47,37,4,6,5,4,0,8.74,2.76,31.6,0.09,0.3,32.6,0.09,0.4,0.6,1478,46.5,420,17486,15728,52,47,3,Defensive Stability First,-5.075914587454745,1.8436867079999115
Lens,Ligue 1,team,1451,1117,81.6,7330,89.3,5806,86.9,1219,56.4,36.2,41.1,54.1,22167,6346,10186,5833,848,12325,30074,479,122,249,606,365,321,264,233,109,927,101,286,705,859,25.26,647,42,66,22,12,65,1.91,47,2,5,8,2,1,14.24,4.35,30.6,0.07,0.24,51.8,0.1,-11.8,-13.3,1576,52.1,499,18173,16605,59,78,3,Defensive Stability First,0.2979775607663735,1.7429026910082028
Leverkusen,Bundesliga,team,1692,1610,84.8,9397,91.9,7044,88.4,1397,58.8,41.9,52.1,59.2,25098,5876,12171,7188,918,13865,35710,496,181,254,395,259,234,153,163,79,629,77,225,676,910,26.76,673,55,67,32,11,124,3.65,90,8,8,13,4,1,14.68,5.32,36.3,0.13,0.37,56.9,0.11,13.1,15.0,1463,52.5,325,21589,19979,67,114,5,Overperforming Finishers,7.830260256262841,-6.248940730798836
Lille,Ligue 1,team,1616,1393,85.0,7248,90.3,7757,90.5,1382,62.7,35.1,40.0,57.6,23278,6099,11352,5991,854,13642,37395,512,158,283,626,356,271,241,273,112,897,74,228,637,769,22.62,582,33,52,31,9,84,2.47,51,4,4,14,9,2,12.47,4.53,36.3,0.11,0.29,54.7,0.12,-2.7,-2.5,1535,52.8,410,19728,18220,42,101,6,Efficient Attackers,3.6244333493816727,-0.16681565309457208
Liverpool,Premier League,team,1924,1583,84.1,8615,91.8,7893,88.6,1412,55.4,61.6,54.3,57.7,25905,7285,11575,7274,1315,14931,41047,558,322,301,642,391,299,271,267,104,941,97,270,724,1151,30.29,881,82,73,27,18,147,3.87,111,7,12,10,6,1,16.82,5.66,33.6,0.12,0.35,82.2,0.12,2.8,0.8,1621,52.5,430,21758,19998,69,128,2,High-Tempo Elite Attack,9.770974883972158,2.9803523036602986
Lyon,Ligue 1,team,1615,1215,84.3,7944,90.9,6605,89.6,1102,55.7,44.4,52.5,56.4,22636,6644,10377,5810,999,13430,36807,483,201,238,576,340,282,257,230,89,858,113,233,695,802,23.59,637,34,51,24,4,114,3.35,90,2,7,9,6,0,12.76,5.09,39.9,0.12,0.31,60.3,0.12,1.7,1.5,1422,47.9,407,19063,17487,61,112,6,Efficient Attackers,3.9253902985147016,-1.6204925239020067
Mainz 05,Bundesliga,team,1286,1038,75.9,5681,86.6,5218,83.8,1280,47.9,37.5,45.0,50.4,20675,6705,9124,5015,782,10562,22087,334,119,214,564,325,352,234,247,83,916,128,291,947,736,21.65,557,30,42,30,10,93,2.74,75,2,0,9,6,1,12.26,4.18,34.1,0.12,0.35,50.1,0.12,2.9,2.0,1545,47.0,408,16434,14771,43,73,9,Solid Mid-Block Teams,-1.7624129419030696,-0.9533793107997276
Mallorca,La Liga,team,1184,973,77.7,5538,88.0,5349,84.8,1466,52.3,26.5,28.3,46.8,20649,7168,9299,4391,635,10945,26760,409,85,255,584,361,326,305,211,68,910,153,236,1161,684,18.0,471,30,48,33,6,60,1.58,45,8,0,2,4,1,10.05,2.82,28.0,0.08,0.28,38.8,0.09,-4.8,-4.9,1523,52.5,466,16224,14337,44,93,4,Defensive Blockers,-4.856316299108896,-0.7780325278645971
Manchester City,Premier League,team,1944,1685,88.1,11071,92.9,8884,91.5,1281,62.8,54.2,53.8,61.3,28103,6503,12076,9753,1348,18077,56163,863,404,377,497,299,229,183,216,98,726,89,242,619,1096,28.84,852,68,56,41,10,125,3.29,95,3,11,10,4,2,15.87,5.47,34.5,0.11,0.33,68.1,0.11,2.9,3.1,1437,48.1,287,24443,22822,86,90,2,High-Tempo Elite Attack,12.181009086431589,-1.6117389598393275
Manchester Utd,Premier League,team,1448,1141,82.5,8233,90.2,6855,88.2,1257,51.6,39.7,35.6,53.5,24734,8593,10460,5908,967,15116,37992,475,230,252,817,493,358,394,305,118,1175,107,279,759,939,24.71,711,38,61,36,15,70,1.84,45,4,5,6,6,4,13.79,4.42,32.1,0.07,0.23,52.6,0.1,-10.6,-11.4,1736,49.9,403,20415,18750,94,107,3,Defensive Stability First,1.586745965767265,7.655785637741618
Marseille,Ligue 1,team,1714,1513,87.9,10229,93.1,8543,91.4,1062,59.2,44.6,43.4,63.3,26602,6930,13580,6271,850,16260,39382,499,197,278,552,358,280,244,229,79,832,70,202,523,878,25.82,648,55,64,25,15,129,3.79,99,3,8,8,7,4,14.15,5.44,38.5,0.13,0.34,63.8,0.12,6.2,6.2,1485,55.6,394,23240,21718,58,75,6,Efficient Attackers,8.284141746270047,-1.679740924893346
Milan,Serie A,team,1589,1198,85.5,6939,90.6,7732,90.8,1389,62.1,46.8,39.3,53.9,22849,7299,10263,5518,966,14001,44096,648,269,343,552,349,234,249,222,81,786,95,197,691,1011,26.61,749,72,62,39,19,107,2.82,69,7,6,14,8,3,14.61,4.87,33.3,0.1,0.3,63.7,0.11,-4.7,-2.5,1397,52.6,415,19101,17400,90,85,6,Efficient Attackers,5.868716650417298,-0.7300395164033927
Monaco,Ligue 1,team,1638,1232,81.3,6877,88.3,6192,87.1,1143,53.6,55.3,54.1,55.0,21883,5633,10914,5558,969,12485,34414,534,187,266,670,429,357,281,287,102,1027,70,280,667,868,25.53,658,38,56,31,18,106,3.12,77,7,4,11,5,2,14.5,5.29,36.5,0.12,0.32,72.8,0.14,-9.8,-10.7,1763,50.3,462,17916,16257,88,88,1,Balanced Attackers,3.6143627745629447,4.3255972258338256
Montpellier,Ligue 1,team,1039,875,79.3,4844,87.6,4897,86.3,1384,57.1,23.0,23.6,45.3,18133,6036,8263,4032,540,9615,27149,362,138,262,631,389,273,302,264,65,904,123,245,733,614,18.06,429,32,34,44,18,39,1.15,23,4,5,3,4,0,10.91,3.26,29.9,0.05,0.18,33.5,0.09,-10.5,-10.4,1349,45.8,427,14420,12786,45,109,0,Possession Builders,-6.182310709839104,0.4861366948424905
Monza,Serie A,team,1096,895,81.3,5982,89.3,6561,88.4,1412,55.1,20.9,18.2,48.5,21338,8271,9181,4056,480,12954,31645,413,89,220,562,315,305,304,202,56,867,157,225,874,588,15.47,437,25,34,31,5,43,1.13,32,3,1,6,0,1,8.76,2.61,29.7,0.07,0.24,29.9,0.09,-2.9,-3.7,1299,48.4,512,17515,15688,30,78,4,Defensive Blockers,-5.375685543519336,-2.985458359817559
Nantes,Ligue 1,team,1053,878,78.8,4741,88.1,4886,87.1,1116,49.9,27.8,26.3,40.4,17874,6120,8089,3839,644,9492,23741,344,141,227,645,376,283,338,224,83,928,116,286,1007,616,18.12,441,43,37,23,13,64,1.88,46,1,8,6,3,0,10.15,3.5,34.5,0.1,0.29,39.1,0.11,-0.1,-1.3,1289,49.2,413,13956,12362,28,46,0,Possession Builders,-5.190695133664709,-0.9908866417138591
Napoli,Serie A,team,1546,1235,84.3,7296,90.4,7665,89.9,1582,63.4,39.1,35.4,54.6,23892,7471,11310,5295,869,13244,35365,443,207,244,535,323,270,237,238,60,805,100,217,813,882,23.21,672,39,61,28,12,100,2.63,75,4,7,6,7,1,13.13,3.95,30.1,0.1,0.35,52.9,0.1,3.1,2.9,1435,53.5,415,20033,18236,48,88,6,Efficient Attackers,3.209565961670622,-2.6432824730301965
Newcastle Utd,Premier League,team,1595,1149,81.6,7416,89.5,6475,87.8,1193,51.6,46.0,42.2,51.3,23032,7468,9671,6124,1082,13016,36065,474,263,282,603,371,270,275,235,93,873,141,270,884,938,24.68,711,39,53,37,25,115,3.03,94,7,3,5,4,2,13.66,4.29,31.4,0.12,0.37,63.8,0.12,2.2,1.5,1632,51.1,394,18898,17088,78,94,8,High Work-Rate Creators,3.465770436443923,1.0746658505958548
Nice,Ligue 1,team,1320,951,81.5,6345,89.4,5509,86.9,1015,53.2,42.9,40.6,47.5,20206,6488,9270,4693,843,10937,32981,413,171,295,633,399,365,297,242,94,998,127,290,784,861,25.32,626,53,61,38,20,105,3.09,74,8,6,8,8,1,14.29,5.38,37.7,0.12,0.31,61.6,0.13,0.4,-0.9,1608,51.5,391,16103,14573,88,62,1,Balanced Attackers,1.4080717487443684,2.2658992987321307
Nott'ham Forest,Premier League,team,1125,974,75.3,5322,87.3,4065,81.1,1038,44.4,33.0,29.9,41.2,18996,6477,7689,5063,785,8768,26563,384,187,259,698,419,322,406,225,67,1020,157,270,1220,798,21.0,569,35,60,40,20,91,2.39,58,10,3,8,8,4,12.11,4.26,35.2,0.12,0.33,45.5,0.1,11.5,10.8,1588,50.5,401,14366,12658,59,62,7,Direct Threat Makers,-3.3077014246645,1.7296130967491832
Osasuna,La Liga,team,1221,963,76.0,5022,85.7,5403,83.3,1489,52.5,29.8,33.4,46.1,20036,6318,8904,5007,737,10439,27022,424,134,260,614,365,266,296,239,79,880,102,286,918,726,19.11,503,39,42,43,6,82,2.16,49,5,5,8,14,1,10.76,3.24,30.1,0.09,0.3,44.0,0.09,2.0,-0.8,1461,54.5,508,16028,14070,28,133,0,Possession Builders,-2.9828742552448104,-0.4702262092486683
Paris S-G,Ligue 1,team,2123,1849,89.8,10887,93.7,10098,93.4,1623,71.6,70.8,61.3,68.0,29502,6704,14734,8262,1211,18244,49950,702,347,364,619,386,265,242,266,111,884,103,257,493,1153,33.91,921,64,59,27,23,158,4.65,124,4,11,10,6,3,18.47,8.0,43.3,0.13,0.31,88.9,0.14,0.1,-0.3,1654,55.0,307,25781,24296,97,175,2,High-Tempo Elite Attack,16.09920922424461,2.686825088543733
Parma,Serie A,team,1059,890,79.1,5238,87.4,5643,86.7,1289,51.5,29.3,24.5,44.2,19903,7204,8455,4468,655,11305,29684,416,168,249,523,293,279,267,201,55,802,153,281,977,749,19.71,542,49,37,45,15,73,1.92,47,6,7,6,5,2,11.0,3.68,33.5,0.09,0.26,43.1,0.09,-0.1,-0.6,1365,49.9,405,15805,14017,43,75,4,Defensive Blockers,-3.2134030067019324,-2.533657395574152
RB Leipzig,Bundesliga,team,1353,1138,80.7,6822,88.0,6428,86.0,1090,54.1,35.6,40.0,52.2,22396,6793,10962,4856,757,11429,27778,392,136,261,543,333,268,248,222,73,811,156,344,990,721,21.21,542,39,36,34,11,85,2.5,60,4,4,11,5,1,11.91,4.24,35.6,0.12,0.33,46.6,0.11,4.4,4.6,1533,52.2,376,18207,16606,80,50,9,Solid Mid-Block Teams,0.050175727058023,-2.1257931742765686
Rayo Vallecano,La Liga,team,1362,1081,78.0,6459,88.4,5793,85.8,1401,48.0,36.2,32.2,51.7,22372,7799,9339,5455,711,12068,29156,431,143,286,626,396,334,328,218,80,960,128,315,973,886,23.32,648,45,58,41,12,59,1.55,38,4,7,7,1,2,13.53,4.26,31.5,0.07,0.23,45.4,0.09,-7.4,-6.6,1688,47.3,522,17861,15874,46,112,3,Defensive Stability First,-1.8375139412977655,2.825792280723075
Real Madrid,La Liga,team,1967,1773,88.2,10517,93.5,8566,92.0,1723,66.4,54.6,52.2,60.4,28252,7662,12794,8048,1181,17893,50356,696,364,412,586,359,331,294,209,83,917,105,248,633,1160,30.53,860,92,70,39,15,137,3.61,98,9,11,10,8,1,16.34,6.03,36.9,0.11,0.3,75.3,0.11,2.7,3.5,1541,55.6,332,24221,22370,90,221,2,High-Tempo Elite Attack,12.441234922075097,1.6585434236262973
Real Sociedad,La Liga,team,1341,1087,79.3,6750,88.6,6360,85.6,1421,52.9,30.9,30.7,53.8,23027,7208,10770,5243,747,12533,34084,417,163,295,649,401,283,309,244,96,932,120,308,913,682,17.95,493,38,34,31,12,59,1.55,42,5,5,2,5,0,10.13,3.21,31.7,0.08,0.25,42.5,0.1,-8.5,-9.3,1569,48.8,501,18759,16761,33,146,3,Defensive Stability First,-2.2491988156949123,1.9788716495971195
Reims,Ligue 1,team,1156,861,79.8,5338,88.7,4868,86.5,1110,51.6,26.5,28.4,44.1,18663,6983,7699,4213,649,9968,30711,420,139,279,558,359,289,313,174,71,847,145,247,958,689,20.26,505,39,50,27,15,57,1.68,43,3,4,7,0,0,11.56,3.26,28.2,0.08,0.28,37.4,0.09,-5.4,-4.9,1407,46.8,392,14602,13035,38,94,4,Defensive Blockers,-4.540345685604041,-1.6035359014819108
Rennes,Ligue 1,team,1440,1083,82.3,6055,88.9,6276,87.9,1246,58.4,29.6,32.5,50.9,20688,6281,9624,4970,763,11438,31644,429,186,270,596,363,337,282,234,80,933,96,254,739,757,22.26,559,36,46,29,15,83,2.44,57,5,6,8,5,2,12.44,4.56,36.6,0.11,0.3,48.6,0.1,2.4,3.3,1458,53.0,445,16913,15272,37,120,9,Solid Mid-Block Teams,0.11822248826735866,-0.4084224175483177
Roma,Serie A,team,1501,1302,84.0,7364,90.5,7726,89.9,1535,57.4,35.0,32.8,53.9,24126,7151,11355,5819,861,14077,36058,579,162,210,551,328,282,233,236,82,833,110,219,746,934,24.58,695,34,67,47,10,95,2.5,67,3,4,11,8,2,13.53,4.26,31.5,0.09,0.29,53.0,0.09,2.0,0.3,1437,48.1,405,20265,18489,50,93,6,Efficient Attackers,2.9777433068682875,-1.5986733494205578
Saint-Étienne,Ligue 1,team,1262,1024,81.5,6224,90.0,5489,87.6,973,48.7,24.6,26.5,47.1,19848,6917,8493,4607,600,10318,26053,334,138,239,581,382,328,291,216,74,909,135,269,854,628,18.47,465,45,39,24,11,65,1.91,47,3,6,5,4,0,10.76,3.38,31.4,0.1,0.31,36.4,0.1,2.6,2.8,1428,47.0,449,15954,14389,51,48,4,Defensive Blockers,-3.7403165255098614,-1.2808353821557508
Sevilla,La Liga,team,1193,1072,79.9,6743,90.3,6146,86.7,1267,46.8,30.8,24.4,50.5,22465,8057,9800,4813,669,11147,29786,397,161,339,648,390,367,321,240,87,1015,88,280,931,824,21.68,600,60,51,31,13,71,1.87,59,4,3,4,1,0,12.42,3.89,31.4,0.08,0.25,42.7,0.09,-3.7,-3.3,1551,54.6,494,18057,16196,40,130,3,Defensive Stability First,-1.7316621165575934,2.447527183987814
Southampton,Premier League,team,1127,989,83.7,7279,91.0,6699,89.9,1175,51.7,24.8,23.9,48.5,22776,8424,9788,4766,688,12656,34286,460,165,312,652,378,305,310,266,76,957,201,232,988,616,16.21,427,51,46,28,8,42,1.11,23,5,3,9,1,1,8.97,2.79,31.1,0.07,0.24,32.7,0.09,-7.7,-5.9,1440,52.6,459,18561,16979,43,60,3,Defensive Stability First,-3.3756566710653555,0.3922022770974027
St. Pauli,Bundesliga,team,1073,892,76.8,5086,87.2,5248,84.5,1110,46.4,26.3,28.7,44.2,19141,6816,8232,4244,648,9105,22922,326,122,179,537,315,257,256,217,64,794,87,304,915,662,19.47,448,36,49,43,14,45,1.32,29,2,7,5,1,1,11.09,3.21,28.9,0.07,0.23,35.3,0.09,-9.3,-8.7,1350,44.8,353,15300,13659,31,60,0,Possession Builders,-5.87764645381831,-2.046664596321758
Strasbourg,Ligue 1,team,1204,896,84.0,6434,90.7,6989,89.2,998,53.0,38.5,32.5,50.1,21307,8555,9120,3825,614,12112,29750,365,170,282,537,335,282,256,213,68,819,111,265,899,622,18.29,456,41,34,25,16,93,2.74,71,6,3,6,5,2,10.41,4.12,39.5,0.15,0.37,49.3,0.14,4.7,4.3,1436,51.1,393,17462,15928,58,46,9,Solid Mid-Block Teams,-0.013060662170291882,-2.9972370389607117
Stuttgart,Bundesliga,team,1493,1291,83.5,8302,91.0,6590,88.1,1230,54.2,45.3,52.7,57.2,23545,6719,11421,5572,945,13416,32190,434,170,264,477,282,298,197,199,81,775,104,297,777,841,24.74,648,40,68,24,9,104,3.06,72,5,9,12,4,2,13.68,5.06,37.0,0.13,0.34,62.3,0.13,-1.3,1.3,1378,51.1,358,19767,18113,63,72,6,Efficient Attackers,4.467809278470755,-3.2926402135928243
Torino,Serie A,team,1113,980,79.8,5650,87.4,6225,87.6,1445,53.6,22.5,25.9,47.5,20697,6911,9482,4475,605,12098,31118,389,107,169,468,261,278,217,181,70,746,133,205,882,663,17.45,500,24,48,29,10,58,1.53,38,6,4,5,4,1,10.08,3.24,32.1,0.09,0.28,34.6,0.08,1.4,2.4,1296,48.8,483,17008,15278,26,83,4,Defensive Blockers,-3.5881039134088257,-5.188012936550973
Tottenham,Premier League,team,1593,1254,82.7,7576,89.8,7372,88.9,1101,52.8,44.4,36.3,54.7,24315,8159,10173,6223,1001,15073,41758,566,249,308,661,414,322,285,271,105,983,159,289,821,875,23.03,648,53,59,36,12,106,2.79,79,7,8,7,4,1,12.97,4.66,35.9,0.12,0.33,58.8,0.12,2.2,2.3,1659,49.1,446,19960,18013,54,70,8,High Work-Rate Creators,3.642527545068514,2.605748378379284
Toulouse,Ligue 1,team,1219,879,78.5,5182,87.0,5259,86.0,964,47.6,34.7,38.0,45.0,18606,6030,8440,4363,789,10414,26397,369,155,277,605,364,281,264,253,88,886,103,238,775,699,20.56,484,36,43,41,15,78,2.29,56,6,5,4,6,1,11.74,4.26,36.3,0.1,0.27,49.1,0.12,-7.1,-7.0,1531,49.0,441,14867,13229,44,95,4,Defensive Blockers,-2.6458379459592125,0.46851990464316057
Udinese,Serie A,team,1160,969,79.5,5322,88.3,5751,86.1,1552,56.2,27.2,24.8,47.2,20351,6993,9142,4451,694,11222,29910,424,127,281,562,346,302,276,217,69,864,139,257,909,757,19.92,557,31,52,31,19,61,1.61,33,4,5,14,3,2,11.32,3.61,31.9,0.09,0.28,38.2,0.08,2.8,4.0,1426,52.7,543,16279,14543,25,92,4,Defensive Blockers,-2.7566708085438854,-1.4846813864582735
Union Berlin,Bundesliga,team,1049,792,72.7,4467,84.3,3994,79.9,1156,48.2,23.5,31.6,40.0,17834,6285,7721,3997,688,8875,20269,252,107,172,537,318,312,266,223,48,849,110,299,1046,709,20.85,485,28,51,41,8,62,1.82,37,8,4,7,5,1,12.18,3.53,29.0,0.08,0.28,37.0,0.08,-1.0,-1.7,1368,49.2,419,13705,12135,16,53,0,Possession Builders,-6.899503293878336,-2.3944870933935842
Valencia,La Liga,team,1340,1109,78.7,6341,89.4,6081,86.1,1284,48.7,30.0,33.4,48.4,21876,7206,9840,5033,653,11347,30877,414,122,236,647,415,302,340,228,79,949,96,270,953,678,17.84,503,27,34,32,16,71,1.87,49,4,3,8,5,2,10.08,3.05,30.3,0.1,0.33,43.3,0.11,-0.3,-1.3,1550,45.4,442,17708,15738,38,128,3,Defensive Stability First,-2.6242592825329893,0.7796700965701165
Valladolid,La Liga,team,991,752,78.3,4795,87.9,5607,86.3,1410,52.2,25.7,24.3,42.8,19507,8158,8153,3393,523,9680,27524,316,120,289,596,357,311,342,204,50,907,160,290,944,601,15.82,425,48,21,36,8,42,1.11,30,0,6,1,5,0,8.71,2.55,29.3,0.06,0.22,34.6,0.09,-8.6,-9.7,1355,50.9,459,15387,13486,37,126,0,Possession Builders,-6.975571137990645,-0.560887860701848
Venezia,Serie A,team,1066,813,76.4,5144,86.1,5103,84.0,1002,45.2,22.2,22.3,45.1,19451,7044,8341,4288,633,10476,28256,383,124,248,605,361,279,319,202,84,884,145,294,921,685,18.03,491,37,36,45,9,49,1.29,26,5,3,8,7,0,10.03,3.16,31.5,0.07,0.23,35.8,0.09,-4.8,-5.0,1450,43.9,503,15155,13224,35,87,0,Possession Builders,-6.2570653797640645,-0.09850185776291354
Villarreal,La Liga,team,1522,1146,81.5,6234,89.3,6564,87.7,1463,57.2,49.7,48.0,47.6,22112,7831,9120,5352,983,12034,34540,503,202,279,649,396,281,333,236,80,930,131,295,922,962,25.32,729,41,59,35,16,124,3.26,101,4,4,8,6,1,13.95,4.5,32.3,0.12,0.37,64.8,0.12,4.2,4.9,1547,55.2,442,17825,16035,78,124,8,High Work-Rate Creators,3.2250934835008223,1.1390477181735845
Werder Bremen,Bundesliga,team,1351,954,79.8,5827,87.5,6247,86.0,1455,57.5,37.4,44.0,50.0,21493,7701,9226,4721,818,12439,27735,347,126,195,551,321,315,245,240,66,866,144,310,851,772,22.71,584,26,49,39,10,94,2.76,75,4,1,6,6,2,12.47,4.06,32.5,0.12,0.36,49.1,0.11,3.9,4.3,1453,50.2,335,17550,15860,57,87,9,Solid Mid-Block Teams,-0.31493365499825343,-2.1250971840760084
West Ham,Premier League,team,1222,1075,80.7,6989,89.2,6245,87.3,1346,52.2,33.9,32.0,48.4,22887,8352,9852,4896,839,11796,29684,394,175,347,654,388,331,317,253,84,985,169,271,1037,815,21.45,582,48,65,34,17,67,1.76,42,5,3,13,3,1,12.45,3.61,29.0,0.08,0.29,47.0,0.1,-4.0,-4.7,1558,51.2,443,18363,16678,53,133,3,Defensive Stability First,-1.0150236786790983,2.16298934314992
Wolfsburg,Bundesliga,team,1205,999,76.8,4735,84.6,5178,85.7,1421,53.3,33.0,36.5,46.1,19121,6603,8190,4491,725,10180,23417,338,131,209,491,301,312,257,175,59,803,133,302,977,754,22.18,528,35,54,45,12,95,2.79,57,11,5,11,9,2,12.71,4.03,31.7,0.11,0.36,47.5,0.1,5.5,5.6,1344,48.0,350,15088,13434,46,120,9,Solid Mid-Block Teams,-2.128845899686554,-3.7163148346041037
Wolves,Premier League,team,1185,1011,80.9,6855,90.1,5909,88.0,1251,50.0,35.4,26.6,48.1,22329,7797,10051,4750,729,12486,34365,458,146,324,801,471,298,412,305,84,1099,137,300,947,756,19.89,547,58,36,34,24,96,2.53,77,5,7,1,2,4,11.34,4.08,36.0,0.12,0.34,43.7,0.1,9.3,9.3,1659,48.7,480,17884,16133,55,122,3,Defensive Stability First,-0.5336376150734633,4.632504493498313
