Rk_per100,Team,G,MP,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Rk_shooting,G_shooting,MP_shooting,FG%_shooting,Avg.FGA.Dist.,%.of.FGA.by.Distance_2P,%.of.FGA.by.Distance_0-3ft,%.of.FGA.by.Distance_3-10%,%.of.FGA.by.Distance_10-16ft,%.of.FGA.by.Distance_16-3Pft,%.of.FGA.by.Distance_3P,FG%.by.Distance_2P,FG%.by.Distance_0-3ft,FG%.by.Distance_3-10ft,FG%.by.Distance_10-16ft,FG%.by.Distance_16-3P,FG%.by.Distance_3P,%.of.FG.Ast.d_2P,%.of.FG.Ast.d_3P,dunks_%FGA,dunks_Md.,layups_%FGA,layups_Md.,corner_%3PA,corner_3P%,heaves_Att.,heaves_Md.,Rk,Age,PW,PL,MOV,SOS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,off_eFG%,off_TOV%,ORB%,off_FT/FGA,def_eFG%,def_TOV%,def_DRB%,def_FT/FGA,Arena,Attend.,Attend..G,W,L,WL_pct,GB,PS_per_G,PA_per_G,SRS
1,Cleveland Cavaliers,82,19755,44.5,90.6,0.491,15.9,41.4,0.383,28.6,49.2,0.581,16.9,21.8,0.776,11.2,34.2,45.3,28,8.2,4.3,13.2,18.1,121.7,6,82,19755,0.491,14.9,0.543,0.241,0.19,0.075,0.037,0.457,0.581,0.707,0.503,0.483,0.362,0.383,0.546,0.784,0.066,444,0.234,1005,0.245,0.401,11,1,3,26.6,62,20,9.54,-0.73,121.7,112.2,9.5,99.8,0.241,0.457,0.607,0.578,11.6,25.9,0.187,0.528,12.6,74.8,0.181,Rocket Arena,796712,19432,64,18,0.78,0,121.9,112.4,8.81
2,Boston Celtics,82,19830,43.2,93.3,0.462,18.4,50,0.368,24.7,43.3,0.571,15.8,19.8,0.799,11.8,35.2,47,27.1,7.4,5.7,12.3,16.5,120.6,2,82,19830,0.462,17,0.464,0.179,0.168,0.073,0.045,0.536,0.571,0.748,0.487,0.424,0.416,0.368,0.505,0.794,0.054,352,0.213,936,0.187,0.393,12,0,2,28.9,62,20,9.11,-0.83,120.6,111.1,9.5,95.7,0.212,0.536,0.591,0.561,10.8,25.7,0.169,0.522,11.6,76,0.154,TD Garden,785396,19156,61,21,0.744,3,116.3,107.2,8.28
3,Oklahoma City Thunder,82,19705,44.6,92.6,0.482,14.5,38.8,0.374,30.1,53.8,0.559,16.7,20.4,0.819,10.6,34.1,44.7,26.8,10.3,5.7,11.7,19.9,120.3,21,82,19705,0.482,14.6,0.581,0.216,0.196,0.123,0.046,0.419,0.559,0.71,0.466,0.5,0.406,0.374,0.482,0.849,0.053,363,0.263,1164,0.213,0.404,5,0,1,24.8,68,14,12.87,-0.16,120.3,107.5,12.8,100,0.22,0.419,0.593,0.56,10.3,24.2,0.18,0.513,14.9,74.6,0.211,Paycom Center,754832,17973,68,14,0.829,0,120.5,107.6,12.7
4,Denver Nuggets,82,19855,45.1,89.1,0.506,11.9,31.7,0.376,33.2,57.4,0.578,17.8,23.1,0.77,11.1,34.3,45.4,30.8,7.9,4.9,14.2,17.5,119.9,8,82,19855,0.506,13.2,0.644,0.265,0.237,0.076,0.067,0.356,0.578,0.715,0.512,0.45,0.413,0.376,0.624,0.846,0.073,465,0.318,1406,0.215,0.431,38,2,9,27,50,32,3.89,0.08,119.9,116,3.9,99.8,0.259,0.356,0.604,0.573,12.5,26.7,0.2,0.542,11.3,74.6,0.173,Ball Arena,811211,19786,50,32,0.61,18,120.8,116.9,3.97
5,New York Knicks,82,19880,44.3,91.3,0.486,12.9,34.9,0.369,31.5,56.4,0.558,16.9,21.2,0.8,11.1,32.5,43.6,28.1,8.4,4,13.6,17.6,118.5,20,82,19880,0.486,13.5,0.618,0.27,0.196,0.107,0.045,0.382,0.558,0.696,0.445,0.477,0.412,0.369,0.555,0.828,0.057,377,0.275,1170,0.285,0.386,19,0,8,27.5,51,31,4.1,-0.51,118.5,114.3,4.2,96.7,0.232,0.382,0.589,0.556,11.9,26,0.186,0.549,13.1,74.5,0.176,Madison Square Garden (IV),811794,19800,51,31,0.622,13,115.8,111.7,3.59
6,Memphis Grizzlies,82,19705,43.3,90.3,0.479,13.5,36.6,0.367,29.8,53.6,0.556,17.7,22.5,0.786,12.5,33.3,45.7,27.5,8.6,5.4,15.2,20.2,117.7,15,82,19705,0.479,13.9,0.594,0.213,0.269,0.085,0.027,0.406,0.556,0.713,0.475,0.468,0.4,0.367,0.527,0.874,0.05,341,0.261,1159,0.254,0.37,24,1,6,24.7,52,30,4.85,-0.06,117.7,113,4.7,103.3,0.249,0.406,0.588,0.554,13.1,28.7,0.196,0.533,12.9,74.9,0.206,FedEx Forum,683067,16660,48,34,0.585,20,121.7,116.9,4.79
7,Sacramento Kings,82,19880,43.4,90.8,0.478,12.7,35.5,0.357,30.7,55.3,0.555,17.2,21.4,0.806,11.1,33.5,44.6,26.7,7.6,4.4,13.4,19,116.7,26,82,19880,0.478,15,0.609,0.171,0.224,0.123,0.092,0.391,0.555,0.715,0.529,0.479,0.425,0.357,0.511,0.865,0.05,341,0.251,1104,0.233,0.397,13,0,16,27.8,42,40,0.48,0.11,116.7,116.2,0.5,98.2,0.235,0.391,0.582,0.548,11.8,25.4,0.19,0.557,12.5,76.9,0.2,Golden 1 Center,696409,16986,40,42,0.488,28,115.7,115.3,0.58
8,Minnesota Timberwolves,82,19830,41.8,89.3,0.468,15.3,40.7,0.377,26.5,48.7,0.545,17.6,22.3,0.789,11.3,33.9,45.2,26.6,8.1,5.1,14.8,18.6,116.6,18,82,19830,0.468,14.7,0.545,0.238,0.197,0.076,0.034,0.455,0.545,0.714,0.427,0.409,0.34,0.377,0.553,0.782,0.071,446,0.253,1017,0.243,0.398,25,0,4,27.2,53,29,5,0.15,116.6,111.5,5.1,97.3,0.249,0.455,0.588,0.554,13,25.8,0.196,0.532,13.2,75.1,0.178,Target Center,772249,18835,49,33,0.598,19,114.3,109.3,5.15
9,Indiana Pacers,82,19855,43.3,88.7,0.488,13.1,35.5,0.368,30.2,53.2,0.568,16.9,21.4,0.789,9.1,32.4,41.5,29,8.4,5.4,13.1,18.6,116.5,12,82,19855,0.488,14.5,0.6,0.218,0.207,0.111,0.062,0.4,0.568,0.707,0.519,0.473,0.409,0.368,0.597,0.842,0.053,342,0.276,1221,0.25,0.401,22,0,12,25.8,46,36,2.23,-0.55,116.5,114.3,2.2,99.9,0.241,0.4,0.594,0.562,11.8,21.3,0.19,0.546,13.1,74.5,0.19,Gainbridge Fieldhouse,685434,16737,50,32,0.61,14,117.4,115.1,1.68
10,Phoenix Suns,82,19830,42.2,88.2,0.478,14.7,38.8,0.378,27.5,49.4,0.556,17.2,21.2,0.81,9.8,33.7,43.4,28.4,7.4,4.9,14.4,18.3,116.2,24,82,19830,0.478,15.8,0.56,0.143,0.199,0.156,0.061,0.44,0.556,0.756,0.485,0.495,0.478,0.378,0.558,0.889,0.053,321,0.184,759,0.29,0.425,7,0,23,29.1,34,48,-3,0.45,116.2,119.3,-3.1,97.1,0.241,0.44,0.595,0.561,12.8,22.6,0.195,0.552,10.9,74.1,0.191,Footprint Center,699911,17071,36,46,0.439,32,113.6,116.6,-2.55
11,Milwaukee Bucks,82,19755,42.2,86.7,0.486,14.2,36.7,0.387,28,49.9,0.56,17.4,23.2,0.75,8.2,35.3,43.5,25.6,7.4,4.7,13.4,18,115.9,17,82,19755,0.486,15.1,0.576,0.244,0.15,0.095,0.086,0.424,0.56,0.715,0.439,0.453,0.449,0.387,0.479,0.857,0.064,404,0.251,1037,0.242,0.438,13,2,11,29.3,47,35,2.48,-0.36,115.9,113.4,2.5,99.3,0.268,0.424,0.598,0.568,12.2,19.3,0.201,0.533,11.4,76.2,0.174,Fiserv Forum,732014,17437,48,34,0.585,16,115.5,113,2.12
12,Los Angeles Lakers,82,19730,41.8,87.3,0.479,13.6,37.2,0.366,28.2,50.2,0.562,18.6,23.7,0.785,9.9,33.5,43.4,26.6,7.9,4.6,14.3,17.6,115.9,14,82,19730,0.479,14.8,0.575,0.218,0.203,0.097,0.056,0.425,0.562,0.753,0.468,0.429,0.395,0.366,0.555,0.801,0.077,491,0.247,1022,0.239,0.394,18,0,14,27.9,44,38,1.22,0.23,115.9,114.7,1.2,97.6,0.271,0.425,0.593,0.557,12.7,23.3,0.213,0.539,12.2,74.5,0.178,Crypto.com Arena,767626,18723,50,32,0.61,18,113.4,112.2,1.45
13,Houston Rockets,82,19780,42.9,94.2,0.455,12.8,36.2,0.353,30.1,58.1,0.518,16.8,22.8,0.738,14.8,34.1,48.9,23.6,8.5,5.1,14,19.2,115.3,11,82,19780,0.455,14,0.616,0.234,0.219,0.099,0.064,0.384,0.518,0.674,0.447,0.401,0.371,0.353,0.447,0.79,0.066,439,0.282,1144,0.205,0.373,16,0,7,24.9,52,30,4.51,0.45,115.3,110.8,4.5,98.6,0.242,0.384,0.553,0.523,11.8,31.7,0.178,0.528,12.8,76.2,0.186,Toyota Center,716853,17484,52,30,0.634,16,114.3,109.8,4.97
14,Los Angeles Clippers,82,19805,42.4,87.9,0.482,12.7,34,0.373,29.7,53.9,0.55,17.6,22.1,0.797,10.5,34.2,44.6,25.7,9.6,4.6,15.2,18.7,115.1,13,82,19805,0.482,13.9,0.613,0.208,0.256,0.108,0.042,0.387,0.55,0.707,0.486,0.456,0.408,0.373,0.549,0.738,0.074,476,0.231,888,0.23,0.403,7,0,5,29.7,53,29,4.66,0.18,115.1,110.3,4.8,97.5,0.251,0.387,0.589,0.554,13.4,24.4,0.2,0.536,13.7,77.5,0.189,Intuit Dome,679593,16575,50,32,0.61,18,112.9,108.2,4.84
15,Golden State Warriors,82,19730,41.2,91.4,0.451,15.6,42.8,0.364,25.6,48.5,0.528,17,22.3,0.764,12.7,33.2,45.9,29.4,9.5,4.8,14.2,19.4,115,10,82,19730,0.451,15.4,0.531,0.168,0.252,0.068,0.043,0.469,0.528,0.689,0.483,0.404,0.353,0.364,0.616,0.874,0.052,339,0.294,1197,0.238,0.389,22,1,10,28.6,49,33,3.3,0.25,115,111.7,3.3,98.7,0.244,0.469,0.568,0.536,12.3,27.3,0.187,0.541,14.1,75.6,0.189,Chase Center,740624,18064,48,34,0.585,20,113.8,110.5,3.56
16,Detroit Pistons,82,19805,42.5,89.4,0.476,12.8,35.2,0.362,29.8,54.2,0.55,17.2,22.2,0.774,11.3,33.3,44.6,26.3,7.9,5.2,14.8,20.6,115,9,82,19805,0.476,13.8,0.606,0.227,0.251,0.085,0.043,0.394,0.55,0.693,0.485,0.449,0.366,0.362,0.517,0.853,0.085,558,0.264,1041,0.24,0.379,20,0,13,25.8,46,36,1.9,-0.17,115,113.1,1.9,99.8,0.248,0.394,0.58,0.547,13,26.2,0.192,0.539,13.3,76,0.214,Little Caesars Arena,781929,19071,44,38,0.537,20,115.5,113.6,1.73
17,Dallas Mavericks,82,19730,42.2,88.2,0.479,12.5,34.3,0.364,29.7,53.9,0.552,17.9,23.2,0.77,10.2,33.1,43.3,25.4,7.8,5.5,14.1,17.9,114.8,7,82,19730,0.479,13.9,0.611,0.227,0.23,0.099,0.056,0.389,0.552,0.726,0.458,0.443,0.418,0.364,0.515,0.806,0.06,372,0.252,1076,0.261,0.379,15,0,19,27.5,38,44,-1.2,0.46,114.8,116,-1.2,99.2,0.263,0.389,0.583,0.549,12.5,23.3,0.203,0.54,11.6,73.1,0.179,American Airlines Center,803174,20079,39,43,0.476,29,114.2,115.4,-0.74
18,Atlanta Hawks,82,19780,42,89,0.472,13.1,36.5,0.358,29,52.5,0.552,17.4,22.5,0.775,11.5,31.6,43.1,28.7,9.4,5,15.1,18.5,114.6,1,82,19780,0.472,13.7,0.59,0.257,0.228,0.077,0.027,0.41,0.552,0.676,0.473,0.422,0.398,0.358,0.622,0.815,0.072,484,0.263,1089,0.277,0.405,20,1,18,24.9,38,44,-1.13,-0.28,114.6,115.7,-1.1,102.6,0.252,0.41,0.579,0.546,13.2,26.3,0.196,0.56,13.8,76,0.202,State Farm Arena,657613,16440,40,42,0.488,24,118.2,119.3,-1.41
19,San Antonio Spurs,82,19730,42,90.2,0.465,14.2,39.8,0.357,27.8,50.4,0.551,16.3,21.1,0.774,11,32.9,43.9,28.8,8.3,5.6,13.9,16.7,114.4,27,82,19730,0.465,14.6,0.559,0.256,0.171,0.083,0.05,0.441,0.551,0.694,0.435,0.437,0.403,0.357,0.595,0.862,0.071,456,0.26,1091,0.249,0.397,18,0,21,26,34,48,-2.76,0.31,114.4,117.2,-2.8,99.3,0.234,0.441,0.575,0.544,12.3,24.3,0.181,0.551,12,73,0.158,Frost Bank Center,731474,17976,34,48,0.415,34,113.9,116.7,-2.45
20,Chicago Bulls,82,19755,41.9,89.1,0.47,15,40.7,0.367,26.9,48.4,0.556,15.5,19.1,0.809,9.7,34.7,44.4,28.2,7.3,4.6,14.2,17.1,114.1,4,82,19755,0.47,14.6,0.543,0.264,0.187,0.057,0.036,0.457,0.556,0.655,0.494,0.428,0.348,0.367,0.567,0.862,0.043,277,0.291,1284,0.25,0.389,15,2,20,25.2,37,45,-1.56,-0.27,114.1,115.6,-1.5,102.8,0.214,0.457,0.585,0.553,12.7,22.3,0.173,0.539,10.8,76.6,0.178,United Center,825659,20138,39,43,0.476,25,117.8,119.4,-1.83
21,Miami Heat,82,19930,41.5,89.3,0.465,14.1,38.3,0.367,27.5,51,0.538,16.4,20.7,0.791,10,34.5,44.5,27.1,8.4,3.9,13.9,16,113.5,16,82,19930,0.465,14.4,0.571,0.211,0.229,0.098,0.033,0.429,0.538,0.678,0.461,0.451,0.434,0.367,0.541,0.872,0.056,356,0.247,982,0.28,0.394,15,0,15,26.8,42,40,0.56,-0.45,113.5,112.9,0.6,96.2,0.232,0.429,0.576,0.544,12.4,22.3,0.183,0.543,12.5,75.8,0.157,Kaseya Center,808337,19716,37,45,0.451,27,110.6,110,0.11
22,Philadelphia 76ers,82,19805,40.5,89.2,0.454,13,38,0.341,27.5,51.3,0.537,17.9,23,0.78,10.6,30,40.6,23.7,9.4,4.6,13.9,19.4,111.9,23,82,19805,0.454,14.6,0.574,0.253,0.184,0.084,0.053,0.426,0.537,0.676,0.433,0.448,0.381,0.341,0.485,0.795,0.055,345,0.283,1115,0.2,0.386,25,0,25,27.1,26,56,-6.23,-0.06,111.9,118.2,-6.3,97.4,0.257,0.426,0.563,0.527,12.3,23.4,0.201,0.57,14.3,71.8,0.194,Wells Fargo Center,813621,19844,24,58,0.293,40,109.6,115.8,-6.29
23,Portland Trail Blazers,82,19780,40.8,90.9,0.45,13,38,0.342,27.9,52.8,0.527,17,22.4,0.762,13.5,31.6,45.1,24,8.3,5.3,16.1,19.1,111.7,25,82,19780,0.45,14.1,0.582,0.268,0.197,0.069,0.047,0.418,0.527,0.675,0.39,0.418,0.421,0.342,0.48,0.816,0.064,408,0.305,1221,0.234,0.345,19,1,22,23.8,33,49,-2.98,0.31,111.7,114.7,-3,98.8,0.246,0.418,0.555,0.521,13.8,29.2,0.187,0.543,13.6,72.5,0.204,Moda Center,719369,17546,36,46,0.439,32,110.9,113.9,-2.67
24,Utah Jazz,82,19805,40,88.1,0.454,13.9,39.6,0.35,26.2,48.5,0.54,17.2,22.2,0.774,11.9,33.2,45.1,25.4,6.7,4.4,17.1,18.8,111.2,29,82,19805,0.454,14.8,0.551,0.166,0.276,0.078,0.031,0.449,0.54,0.699,0.495,0.423,0.368,0.35,0.532,0.824,0.067,435,0.262,1041,0.274,0.402,15,1,27,23.9,20,62,-9.34,0.83,111.2,120.4,-9.2,100,0.252,0.449,0.568,0.533,14.9,26.9,0.195,0.559,10.3,74.1,0.185,Delta Center,745175,18175,17,65,0.207,51,111.9,121.2,-8.51
25,Toronto Raptors,82,19805,41.5,90.7,0.458,11.8,33.9,0.348,29.7,56.8,0.523,15.7,21,0.748,12.6,32.4,45,28.4,8.1,4.2,15.3,21.1,110.5,28,82,19805,0.458,13,0.627,0.283,0.217,0.094,0.033,0.373,0.523,0.654,0.407,0.459,0.347,0.348,0.599,0.904,0.054,339,0.313,1278,0.283,0.381,21,0,24,24.5,30,52,-4.29,-0.11,110.5,114.8,-4.3,99.7,0.232,0.373,0.553,0.522,13.3,27.3,0.173,0.541,13.2,73.9,0.222,Scotiabank Arena,768573,18746,30,52,0.366,34,110.9,115.2,-4.4
26,New Orleans Pelicans,82,19755,40.8,90.3,0.452,12.1,34.8,0.347,28.8,55.5,0.518,16.6,22.1,0.754,12.2,31.7,43.8,26,8.6,5.3,14.7,18.4,110.4,19,82,19755,0.452,13.7,0.615,0.25,0.213,0.104,0.047,0.385,0.518,0.666,0.417,0.432,0.379,0.347,0.552,0.835,0.063,396,0.27,1091,0.25,0.365,6,0,29,25.9,20,62,-9.43,0.84,110.4,119.9,-9.5,99.1,0.244,0.385,0.552,0.519,12.8,26.3,0.184,0.564,12.3,72.7,0.19,Smoothie King Center,689400,16815,21,61,0.256,47,109.8,119.3,-8.59
27,Orlando Magic,82,19730,39.6,89,0.445,11.7,36.6,0.318,28,52.4,0.533,18.5,23.9,0.775,11.6,31.9,43.4,23.9,9.2,6.2,14.7,20.9,109.4,22,82,19730,0.445,14.5,0.589,0.225,0.214,0.09,0.06,0.411,0.533,0.701,0.451,0.408,0.388,0.318,0.505,0.837,0.066,396,0.26,1037,0.27,0.352,24,0,17,24.9,41,41,-0.12,-0.58,109.4,109.6,-0.2,96.1,0.269,0.411,0.55,0.51,12.9,25.3,0.208,0.538,15,77,0.22,Kia Center,762121,18588,41,41,0.5,23,105.4,105.5,-0.7
28,Brooklyn Nets,82,19780,38.8,88.8,0.437,14,40.7,0.344,24.8,48.2,0.515,16.8,21.3,0.787,11.3,31.4,42.6,26,8,4.4,15.7,21.4,108.5,3,82,19780,0.437,14.7,0.542,0.228,0.214,0.07,0.03,0.458,0.515,0.673,0.399,0.412,0.386,0.344,0.54,0.897,0.051,305,0.277,1021,0.265,0.348,14,0,26,24.7,23,59,-7.11,0.16,108.5,115.8,-7.3,96.4,0.24,0.458,0.552,0.516,13.7,24.5,0.189,0.557,13.7,75,0.218,Barclays Center,713304,17398,26,56,0.317,38,105.1,112.2,-6.95
29,Charlotte Hornets,82,19755,39.1,91,0.43,13.3,39.1,0.339,25.9,51.8,0.499,15.8,20.2,0.783,12.5,33.6,46.1,24.8,7.6,4.6,15.8,19.1,107.3,5,82,19755,0.43,14.6,0.57,0.226,0.223,0.082,0.04,0.43,0.499,0.674,0.397,0.353,0.371,0.339,0.54,0.819,0.059,379,0.249,949,0.235,0.369,22,0,28,25.1,20,62,-9.11,0.01,107.3,116.6,-9.3,97.6,0.222,0.43,0.537,0.503,13.7,26.5,0.174,0.547,11.9,74.5,0.19,Spectrum Center,703935,17169,19,63,0.232,45,105.1,114.2,-9.1
30,Washington Wizards,82,19730,39,88.9,0.439,13,38.7,0.335,26,50.2,0.519,15.9,20.4,0.778,10.5,32.7,43.2,24.8,7.5,5.1,15.4,19.5,106.8,30,82,19730,0.439,15.1,0.565,0.213,0.225,0.079,0.047,0.435,0.519,0.703,0.417,0.383,0.397,0.335,0.549,0.813,0.052,350,0.263,1044,0.166,0.348,21,0,30,23.5,15,67,-12.44,0.3,106.8,119.1,-12.3,100.9,0.229,0.435,0.546,0.512,13.6,22.7,0.178,0.548,11.4,71.9,0.202,Capital One Arena,663691,16084,18,64,0.22,46,108,120.4,-12.14
