season,team,wins,losses,games,win_pct
2014,ATL,60,22,82,0.732
2014,BKN,38,44,82,0.463
2014,BOS,40,42,82,0.488
2014,CHA,33,49,82,0.402
2014,CHI,50,32,82,0.61
2014,CLE,53,29,82,0.646
2014,DAL,50,32,82,0.61
2014,DEN,30,52,82,0.366
2014,DET,32,50,82,0.39
2014,GSW,67,15,82,0.817
2014,HOU,56,26,82,0.683
2014,IND,38,44,82,0.463
2014,LAC,56,26,82,0.683
2014,LAL,21,61,82,0.256
2014,MEM,55,27,82,0.671
2014,MIA,37,45,82,0.451
2014,MIL,41,41,82,0.5
2014,MIN,16,66,82,0.195
2014,NOP,45,37,82,0.549
2014,NYK,17,65,82,0.207
2014,OKC,45,37,82,0.549
2014,ORL,25,57,82,0.305
2014,PHI,18,64,82,0.22
2014,PHX,39,43,82,0.476
2014,POR,51,31,82,0.622
2014,SAC,29,53,82,0.354
2014,SAS,55,27,82,0.671
2014,TOR,49,33,82,0.598
2014,UTA,38,44,82,0.463
2014,WAS,46,36,82,0.561
2015,ATL,48,34,82,0.585
2015,BKN,21,61,82,0.256
2015,BOS,48,34,82,0.585
2015,CHA,48,34,82,0.585
2015,CHI,42,40,82,0.512
2015,CLE,57,25,82,0.695
2015,DAL,42,40,82,0.512
2015,DEN,33,49,82,0.402
2015,DET,44,38,82,0.537
2015,GSW,73,9,82,0.89
2015,HOU,41,41,82,0.5
2015,IND,45,37,82,0.549
2015,LAC,53,29,82,0.646
2015,LAL,17,65,82,0.207
2015,MEM,42,40,82,0.512
2015,MIA,48,34,82,0.585
2015,MIL,33,49,82,0.402
2015,MIN,29,53,82,0.354
2015,NOP,30,52,82,0.366
2015,NYK,32,50,82,0.39
2015,OKC,55,27,82,0.671
2015,ORL,35,47,82,0.427
2015,PHI,10,72,82,0.122
2015,PHX,23,59,82,0.28
2015,POR,44,38,82,0.537
2015,SAC,33,49,82,0.402
2015,SAS,67,15,82,0.817
2015,TOR,56,26,82,0.683
2015,UTA,40,42,82,0.488
2015,WAS,41,41,82,0.5
2016,ATL,43,39,82,0.524
2016,BKN,20,62,82,0.244
2016,BOS,53,29,82,0.646
2016,CHA,36,46,82,0.439
2016,CHI,41,41,82,0.5
2016,CLE,51,31,82,0.622
2016,DAL,33,49,82,0.402
2016,DEN,40,42,82,0.488
2016,DET,37,45,82,0.451
2016,GSW,67,15,82,0.817
2016,HOU,55,27,82,0.671
2016,IND,42,40,82,0.512
2016,LAC,51,31,82,0.622
2016,LAL,26,56,82,0.317
2016,MEM,43,39,82,0.524
2016,MIA,41,41,82,0.5
2016,MIL,42,40,82,0.512
2016,MIN,31,51,82,0.378
2016,NOP,34,48,82,0.415
2016,NYK,31,51,82,0.378
2016,OKC,47,35,82,0.573
2016,ORL,29,53,82,0.354
2016,PHI,28,54,82,0.341
2016,PHX,24,58,82,0.293
2016,POR,41,41,82,0.5
2016,SAC,32,50,82,0.39
2016,SAS,61,21,82,0.744
2016,TOR,51,31,82,0.622
2016,UTA,51,31,82,0.622
2016,WAS,49,33,82,0.598
2017,ATL,24,58,82,0.293
2017,BKN,28,54,82,0.341
2017,BOS,55,27,82,0.671
2017,CHA,36,46,82,0.439
2017,CHI,27,55,82,0.329
2017,CLE,50,32,82,0.61
2017,DAL,24,58,82,0.293
2017,DEN,46,36,82,0.561
2017,DET,39,43,82,0.476
2017,GSW,58,24,82,0.707
2017,HOU,65,17,82,0.793
2017,IND,48,34,82,0.585
2017,LAC,42,40,82,0.512
2017,LAL,35,47,82,0.427
2017,MEM,22,60,82,0.268
2017,MIA,44,38,82,0.537
2017,MIL,44,38,82,0.537
2017,MIN,47,35,82,0.573
2017,NOP,48,34,82,0.585
2017,NYK,29,53,82,0.354
2017,OKC,48,34,82,0.585
2017,ORL,25,57,82,0.305
2017,PHI,52,30,82,0.634
2017,PHX,21,61,82,0.256
2017,POR,49,33,82,0.598
2017,SAC,27,55,82,0.329
2017,SAS,47,35,82,0.573
2017,TOR,59,23,82,0.72
2017,UTA,48,34,82,0.585
2017,WAS,43,39,82,0.524
2018,ATL,29,53,82,0.354
2018,BKN,42,40,82,0.512
2018,BOS,49,33,82,0.598
2018,CHA,39,43,82,0.476
2018,CHI,22,60,82,0.268
2018,CLE,19,63,82,0.232
2018,DAL,33,49,82,0.402
2018,DEN,54,28,82,0.659
2018,DET,41,41,82,0.5
2018,GSW,57,25,82,0.695
2018,HOU,53,29,82,0.646
2018,IND,48,34,82,0.585
2018,LAC,48,34,82,0.585
2018,LAL,37,45,82,0.451
2018,MEM,33,49,82,0.402
2018,MIA,39,43,82,0.476
2018,MIL,60,22,82,0.732
2018,MIN,36,46,82,0.439
2018,NOP,33,49,82,0.402
2018,NYK,17,65,82,0.207
2018,OKC,49,33,82,0.598
2018,ORL,42,40,82,0.512
2018,PHI,51,31,82,0.622
2018,PHX,19,63,82,0.232
2018,POR,53,29,82,0.646
2018,SAC,39,43,82,0.476
2018,SAS,48,34,82,0.585
2018,TOR,58,24,82,0.707
2018,UTA,50,32,82,0.61
2018,WAS,32,50,82,0.39
2019,ATL,20,47,67,0.299
2019,BKN,35,37,72,0.486
2019,BOS,48,24,72,0.667
2019,CHA,23,42,65,0.354
2019,CHI,22,43,65,0.338
2019,CLE,19,46,65,0.292
2019,DAL,43,32,75,0.573
2019,DEN,46,27,73,0.63
2019,DET,20,46,66,0.303
2019,GSW,15,50,65,0.231
2019,HOU,44,28,72,0.611
2019,IND,45,28,73,0.616
2019,LAC,49,23,72,0.681
2019,LAL,52,19,71,0.732
2019,MEM,34,39,73,0.466
2019,MIA,44,29,73,0.603
2019,MIL,56,17,73,0.767
2019,MIN,19,45,64,0.297
2019,NOP,30,42,72,0.417
2019,NYK,21,45,66,0.318
2019,OKC,44,28,72,0.611
2019,ORL,33,40,73,0.452
2019,PHI,43,30,73,0.589
2019,PHX,34,39,73,0.466
2019,POR,35,39,74,0.473
2019,SAC,31,41,72,0.431
2019,SAS,32,39,71,0.451
2019,TOR,53,19,72,0.736
2019,UTA,44,28,72,0.611
2019,WAS,25,47,72,0.347
2020,ATL,41,31,72,0.569
2020,BKN,48,24,72,0.667
2020,BOS,36,36,72,0.5
2020,CHA,33,39,72,0.458
2020,CHI,31,41,72,0.431
2020,CLE,22,50,72,0.306
2020,DAL,42,30,72,0.583
2020,DEN,47,25,72,0.653
2020,DET,20,52,72,0.278
2020,GSW,39,33,72,0.542
2020,HOU,17,55,72,0.236
2020,IND,34,38,72,0.472
2020,LAC,47,25,72,0.653
2020,LAL,42,30,72,0.583
2020,MEM,38,34,72,0.528
2020,MIA,40,32,72,0.556
2020,MIL,46,26,72,0.639
2020,MIN,23,49,72,0.319
2020,NOP,31,41,72,0.431
2020,NYK,41,31,72,0.569
2020,OKC,22,50,72,0.306
2020,ORL,21,51,72,0.292
2020,PHI,49,23,72,0.681
2020,PHX,51,21,72,0.708
2020,POR,42,30,72,0.583
2020,SAC,31,41,72,0.431
2020,SAS,33,39,72,0.458
2020,TOR,27,45,72,0.375
2020,UTA,52,20,72,0.722
2020,WAS,34,38,72,0.472
2021,ATL,43,39,82,0.524
2021,BKN,44,38,82,0.537
2021,BOS,51,31,82,0.622
2021,CHA,43,39,82,0.524
2021,CHI,46,36,82,0.561
2021,CLE,44,38,82,0.537
2021,DAL,52,30,82,0.634
2021,DEN,48,34,82,0.585
2021,DET,23,59,82,0.28
2021,GSW,53,29,82,0.646
2021,HOU,20,62,82,0.244
2021,IND,25,57,82,0.305
2021,LAC,42,40,82,0.512
2021,LAL,33,49,82,0.402
2021,MEM,56,26,82,0.683
2021,MIA,53,29,82,0.646
2021,MIL,51,31,82,0.622
2021,MIN,46,36,82,0.561
2021,NOP,36,46,82,0.439
2021,NYK,37,45,82,0.451
2021,OKC,24,58,82,0.293
2021,ORL,22,60,82,0.268
2021,PHI,51,31,82,0.622
2021,PHX,64,18,82,0.78
2021,POR,27,55,82,0.329
2021,SAC,30,52,82,0.366
2021,SAS,34,48,82,0.415
2021,TOR,48,34,82,0.585
2021,UTA,49,33,82,0.598
2021,WAS,35,47,82,0.427
2022,ATL,41,41,82,0.5
2022,BKN,45,37,82,0.549
2022,BOS,57,25,82,0.695
2022,CHA,27,55,82,0.329
2022,CHI,40,42,82,0.488
2022,CLE,51,31,82,0.622
2022,DAL,38,44,82,0.463
2022,DEN,53,29,82,0.646
2022,DET,17,65,82,0.207
2022,GSW,44,38,82,0.537
2022,HOU,22,60,82,0.268
2022,IND,35,47,82,0.427
2022,LAC,44,38,82,0.537
2022,LAL,43,39,82,0.524
2022,MEM,51,31,82,0.622
2022,MIA,44,38,82,0.537
2022,MIL,58,24,82,0.707
2022,MIN,42,40,82,0.512
2022,NOP,42,40,82,0.512
2022,NYK,47,35,82,0.573
2022,OKC,40,42,82,0.488
2022,ORL,34,48,82,0.415
2022,PHI,54,28,82,0.659
2022,PHX,45,37,82,0.549
2022,POR,33,49,82,0.402
2022,SAC,48,34,82,0.585
2022,SAS,22,60,82,0.268
2022,TOR,41,41,82,0.5
2022,UTA,37,45,82,0.451
2022,WAS,35,47,82,0.427
2023,ATL,36,46,82,0.439
2023,BKN,32,50,82,0.39
2023,BOS,64,18,82,0.78
2023,CHA,21,61,82,0.256
2023,CHI,39,43,82,0.476
2023,CLE,48,34,82,0.585
2023,DAL,50,32,82,0.61
2023,DEN,57,25,82,0.695
2023,DET,14,68,82,0.171
2023,GSW,46,36,82,0.561
2023,HOU,41,41,82,0.5
2023,IND,47,35,82,0.573
2023,LAC,51,31,82,0.622
2023,LAL,47,35,82,0.573
2023,MEM,27,55,82,0.329
2023,MIA,46,36,82,0.561
2023,MIL,49,33,82,0.598
2023,MIN,56,26,82,0.683
2023,NOP,49,33,82,0.598
2023,NYK,50,32,82,0.61
2023,OKC,57,25,82,0.695
2023,ORL,47,35,82,0.573
2023,PHI,47,35,82,0.573
2023,PHX,49,33,82,0.598
2023,POR,21,61,82,0.256
2023,SAC,46,36,82,0.561
2023,SAS,22,60,82,0.268
2023,TOR,25,57,82,0.305
2023,UTA,31,51,82,0.378
2023,WAS,15,67,82,0.183
2024,ATL,40,42,82,0.488
2024,BKN,26,56,82,0.317
2024,BOS,61,21,82,0.744
2024,CHA,19,63,82,0.232
2024,CHI,39,43,82,0.476
2024,CLE,64,18,82,0.78
2024,DAL,39,43,82,0.476
2024,DEN,50,32,82,0.61
2024,DET,44,38,82,0.537
2024,GSW,48,34,82,0.585
2024,HOU,52,30,82,0.634
2024,IND,50,32,82,0.61
2024,LAC,50,32,82,0.61
2024,LAL,50,32,82,0.61
2024,MEM,48,34,82,0.585
2024,MIA,37,45,82,0.451
2024,MIL,48,34,82,0.585
2024,MIN,49,33,82,0.598
2024,NOP,21,61,82,0.256
2024,NYK,51,31,82,0.622
2024,OKC,68,14,82,0.829
2024,ORL,41,41,82,0.5
2024,PHI,24,58,82,0.293
2024,PHX,36,46,82,0.439
2024,POR,36,46,82,0.439
2024,SAC,40,42,82,0.488
2024,SAS,34,48,82,0.415
2024,TOR,30,52,82,0.366
2024,UTA,17,65,82,0.207
2024,WAS,18,64,82,0.22
