PLAYER_NAME,xShot_total,xPoints_total
Jayson Tatum,1391.0073746635228,3228.3510384906685
Trae Young,1268.1174753425225,2933.910342808674
DeMar DeRozan,1382.1660737670359,2863.5097040787573
Giannis Antetokounmpo,1332.8134247505438,2827.1680502531117
Devin Booker,1230.918346606119,2792.4026379435036
Donovan Mitchell,1146.892505033579,2733.9192535986735
Nikola Jokić,1270.7519996347783,2733.287592987852
Luka Dončić,1174.1351042142758,2728.7614436913586
Joel Embiid,1264.5061231349107,2698.8853809022526
Miles Bridges,1183.1991601378763,2688.5060733527303
Anthony Edwards,1123.377014216355,2664.723503141004
Karl-Anthony Towns,1182.246006957704,2613.992137979454
LeBron James,1155.1978979006778,2611.125168579029
Russell Westbrook,1183.0050007921222,2549.0616673670406
LaMelo Ball,1072.363356901106,2524.8571330282116
Dejounte Murray,1155.7526356150172,2514.139726420051
Jaylen Brown,1095.397137911058,2508.0691669309613
Julius Randle,1116.898205742393,2503.763065989174
RJ Barrett,1107.9250197394401,2500.0521165735568
Ja Morant,1156.1725516749239,2484.309293610138
Stephen Curry,987.6332195655821,2471.8848544329785
Zach LaVine,1054.5581282561889,2434.8392310525956
Pascal Siakam,1140.0103318672636,2430.3853474329585
Reggie Jackson,1033.307600203738,2418.121987455537
Terry Rozier,1001.8763844603166,2418.053150585466
Nikola Vučević,1052.2310207860432,2327.7504180619117
Saddiq Bey,951.5861785007878,2319.9063028586806
Darius Garland,1002.022566964523,2306.6952701457044
CJ McCollum,977.3392250884145,2280.961112668186
Desmond Bane,956.0830376351399,2277.3479045943664
Buddy Hield,884.6574845737691,2265.3108225814203
Jordan Clarkson,918.8207988395413,2251.2517475713576
Tyler Herro,966.063267248353,2234.445781236706
Jaren Jackson Jr.,955.316463722595,2187.0692167322677
Fred VanVleet,874.1337158216949,2182.753869605486
Gary Trent Jr.,899.5475358075029,2179.218001301036
Jordan Poole,891.9904222687035,2177.947332941491
Kevin Durant,981.0902610101602,2169.2681545987007
Shai Gilgeous-Alexander,979.1196354925846,2161.9585508013824
De'Aaron Fox,984.7461875754329,2142.2093405970522
Keldon Johnson,921.8668135075699,2121.442930397994
Andrew Wiggins,919.0468436020324,2115.251722168982
Tobias Harris,959.1216303484142,2110.136802642655
Franz Wagner,952.3005339003105,2094.7982293461396
Cade Cunningham,912.3486466831382,2071.0098287615097
Jalen Green,875.6279903891999,2065.3762393848406
Tyrese Maxey,916.1716445900222,2044.2458323990638
Kelly Oubre Jr.,821.6226717714115,2029.5345959499489
James Harden,855.2498516071344,2019.5923445399596
Scottie Barnes,921.9894628516073,1979.0290667991044
Khris Middleton,840.7705951296555,1978.6108988200413
Jalen Brunson,899.6146244417773,1976.3138788349843
Jonas Valančiūnas,931.860459088197,1971.5407156239457
Christian Wood,869.1440667662104,1967.5316027077126
D'Angelo Russell,803.7137286895768,1963.4600561619577
Evan Fournier,761.0193230208029,1955.9652364663405
Bojan Bogdanovic,806.8272568962999,1948.59274956705
Aaron Gordon,874.2778671769194,1932.164815260823
Jrue Holiday,842.5810367178395,1906.1052842225806
Brandon Ingram,875.7385138475598,1905.7584630147035
Mikal Bridges,836.9486490345929,1901.2620869259672
Kyle Kuzma,819.1751272122559,1893.8336423053047
Evan Mobley,912.2511420064355,1887.9348830970835
Will Barton,783.3252530271141,1866.8266927995546
Cole Anthony,782.9016872485529,1831.6723772132914
Malik Beasley,682.1771907856037,1816.5976339246824
Bobby Portis,786.5672982857478,1810.2246808349544
Tyrese Haliburton,773.1131885628654,1810.202929068066
Malik Monk,745.6112936142844,1797.4721458687256
Harrison Barnes,761.2282494821497,1775.937362919418
Domantas Sabonis,830.7937102634545,1747.4020956343206
Caris LeVert,782.6539998700813,1744.2617657508133
Jimmy Butler III,823.1692609915146,1728.103959197943
Kevin Porter Jr.,711.3972365975549,1706.6926430109895
Kentavious Caldwell-Pope,695.443257849606,1679.0428596392383
Davion Mitchell,721.0690171635523,1662.9219592608074
Bam Adebayo,828.1465563776646,1658.9875034208906
Devonte' Graham,627.2604626822729,1640.3578976100616
Derrick White,689.7733818967633,1635.831553764936
Jae'Sean Tate,745.1722406378333,1632.9637701668612
Kristaps Porziņģis,727.7601865688739,1621.690914692342
Patty Mills,610.6253298231179,1619.5981116223552
Bogdan Bogdanović,637.7314202725088,1596.774694274276
Devin Vassell,663.7640958638665,1594.5800892997602
Monté Morris,678.3283029762725,1578.730766863193
Clint Capela,786.5382586311077,1573.3905659028499
Anfernee Simons,635.3523549544005,1572.126643824144
Mike Conley,641.0667574710579,1570.4662482302845
Lonnie Walker IV,663.1270251358218,1570.2307341049875
Deandre Ayton,773.4990608804286,1559.790704294225
Dorian Finney-Smith,625.3659308932288,1558.6817243214862
Anthony Davis,753.5608366476345,1554.4166943320088
Bradley Beal,701.4716646301684,1548.4420424940881
Kevin Huerter,628.7470264863256,1545.5130000825295
Terance Mann,695.5846022587394,1537.4671334767863
Wendell Carter Jr.,694.6494663603828,1535.4739468167513
OG Anunoby,654.7906873866983,1530.8495244776673
Duncan Robinson,548.6215339100844,1530.6349482156265
Kevin Love,601.2847519067983,1525.3192381970741
Luguentz Dort,628.5751679504899,1524.3674795332918
Lauri Markkanen,632.0390022756416,1522.1417550630345
Jakob Poeltl,754.0029286976292,1508.3258139565696
Darius Bazley,652.1725878319074,1490.8872995891425
Spencer Dinwiddie,626.3230053172723,1478.6973112010353
Alec Burks,601.2673026280106,1474.9313645323655
Marcus Smart,612.7058332200542,1473.4606908269823
John Collins,673.0051100700023,1470.496917477962
De'Anthony Melton,604.8192925940084,1467.4430856949991
Carmelo Anthony,588.2372681180775,1455.1964524343077
Seth Curry,596.0983289968115,1454.2990211973415
Rudy Gobert,724.7708032460708,1451.380545577082
Dennis Schröder,630.8368785103148,1432.4703661919318
Immanuel Quickley,575.6168584433191,1423.1134833773137
Mo Bamba,611.2675134401345,1419.388991395637
Jarrett Allen,706.1862373964465,1419.3454453304882
Jerami Grant,621.0152386938624,1418.1234504311535
Justin Holiday,535.4306288935941,1408.8032747463183
Nickeil Alexander-Walker,582.1637260807017,1399.90531980025
Montrezl Harrell,680.6825857403758,1371.4439433556747
Precious Achiuwa,629.8301213958853,1370.6037291907512
Josh Giddey,607.8079568616689,1362.3082897462916
Chris Paul,613.0994061296743,1360.7840840247015
Chris Boucher,586.1903766348416,1333.3241587685584
Jusuf Nurkić,644.4855430516171,1326.9290774034628
Coby White,535.4194054260602,1313.5412315580038
KJ Martin,595.8771692362108,1308.671811218788
Marcus Morris Sr.,559.2028420472903,1307.9410010598315
Chris Duarte,563.666669570299,1306.817012330931
Cameron Johnson,513.7158693869989,1304.7859939781426
Herbert Jones,591.4983503620463,1303.7587402147215
Luke Kennard,498.13477319761324,1288.9355884158176
Gordon Hayward,559.741294294867,1273.8142655939425
Norman Powell,547.3569679630428,1272.7979054463333
Jaden McDaniels,538.3309904281747,1257.5361085476397
Paul George,538.8834343938888,1256.7552393752408
Jeff Green,561.4624148409288,1242.732886643335
Kyle Lowry,488.65218758343855,1234.9002348697902
Deni Avdija,523.3174925953498,1225.8080804237482
Chuma Okeke,481.6721583930105,1222.1214522667408
Al Horford,515.2380629218968,1214.6657680095323
Josh Hart,533.521381979735,1213.738790467813
Cedi Osman,483.53561696919724,1213.2159241226616
Ivica Zubac,601.8342202869371,1203.6684405738742
Grayson Allen,465.73549094358043,1201.996827014331
Max Strus,446.5749958207124,1197.6470730720437
P.J. Washington,492.7465241004227,1193.5839495112966
Kyrie Irving,514.8570484423428,1193.421604371634
De'Andre Hunter,523.5540626235481,1185.5149936499006
Trey Lyles,520.0334593459153,1183.8857770173124
Ayo Dosunmu,520.4215351660534,1175.016366427164
Obi Toppin,527.301166085538,1174.6219479135545
Tre Mann,493.157018526201,1171.0293214096516
Cameron Payne,512.8191934156886,1170.0176856004625
Gary Harris,476.58273828064466,1169.7639158062652
Danilo Gallinari,483.1746620924788,1167.3852158806753
Bones Hyland,462.4716298227375,1167.077100693144
Georges Niang,448.35136799447196,1166.9979518934756
Alperen Sengun,539.847743523741,1155.8222377429884
Oshae Brissett,492.89499872723025,1153.12590548918
Jalen Suggs,508.1418115962619,1149.3402655549232
Hamidou Diallo,539.2411766919888,1143.782212687237
Klay Thompson,469.52071110347345,1143.2797164796696
Eric Gordon,470.7762779543543,1141.0958325159568
Ben McLemore,422.129563375942,1136.6360392661695
Talen Horton-Tucker,502.9752620987807,1130.9692539677048
Bruce Brown,530.9644608899595,1130.2222511965183
Malcolm Brogdon,496.8436452263524,1122.5748252669841
Daniel Gafford,559.9517664339741,1120.544884550103
JaVale McGee,552.6293717601098,1111.3575364923604
Jae Crowder,424.1480568990961,1102.5286552667603
Corey Kispert,438.10827610178364,1097.378019996627
Terrence Ross,458.61862478995397,1095.6204442321846
Naz Reid,489.0371793872144,1093.979836820988
Isaiah Stewart,529.1864032443568,1089.79986169963
Damian Lillard,449.6019069753407,1085.542678791481
Tim Hardaway Jr.,437.9881973804897,1084.1209510947494
Josh Christopher,477.27051817560215,1083.3133841747854
Dwight Powell,528.0041714177655,1081.5868145409215
Andre Drummond,538.6076360139762,1078.0173513057
Dillon Brooks,485.91161788204505,1075.180929288356
Josh Richardson,450.5925906589387,1069.1495920679033
Jonathan Kuminga,482.89248790817925,1069.1433889196956
Reggie Bullock Jr.,393.6771684423169,1068.9626278318726
Robert Covington,416.19152901853397,1067.3317159100309
Pat Connaughton,403.4498048882821,1063.3642348167698
Tyus Jones,460.2333666678465,1063.3580087426487
Bryn Forbes,424.187396525431,1053.1808933948664
Robert Williams III,520.9546706123365,1042.5618804720884
Gabe Vincent,408.85660045581164,1038.294732794992
Brandon Clarke,510.68670094670324,1037.5302779583385
Landry Shamet,393.6719802035866,1021.2691839263293
Mitchell Robinson,510.4837145266849,1020.9674290533698
Chimezie Metu,442.5648296847024,1015.8384625698294
Isaac Okoro,447.4025779896286,1010.2421130111574
Jaxson Hayes,483.0148610679077,1005.5044125961789
Frank Jackson,405.66752645098785,1004.9024486735767
Kyle Anderson,458.45585281726363,994.6844763691917
Aleksej Pokusevski,427.4897573895916,990.3469186165202
Doug McDermott,404.56236297964807,988.1521527198187
Amir Coffey,402.4552717814994,983.2625203750648
Marvin Bagley III,457.2679459296644,982.8901467773812
Furkan Korkmaz,399.6941594050972,981.876936994923
Jarred Vanderbilt,484.130877602462,978.4556153800567
Cam Thomas,426.98847087791614,975.3412840715326
Garrison Mathews,354.33048232306993,971.0563053326968
Torrey Craig,402.267959068202,969.822853770956
Royce O'Neale,373.88912454731906,959.660071574875
Jordan Nwora,399.30656416442747,957.0337047744857
Cody Martin,420.6297567246532,956.236560225829
Ziaire Williams,388.98019972574104,951.861883455973
Grant Williams,380.2291714024226,945.3726601809084
R.J. Hampton,409.36725119897557,944.126527255168
Killian Hayes,413.20116436045663,943.5168137188973
Eric Bledsoe,412.93729217473197,936.8950585034878
Caleb Martin,412.172392071836,934.606446012421
Moritz Wagner,395.8773621925614,929.4480625378656
P.J. Tucker,389.23033290633947,922.0187427563893
Kevon Looney,458.5900458643415,917.8792611123819
LaMarcus Aldridge,434.64885571670004,901.5320872943153
Steven Adams,449.3729373305416,899.1757490448008
Duane Washington Jr.,373.18069831804166,897.7888716492602
Patrick Beverley,360.72110301041045,892.0649729188809
Otto Porter Jr.,370.67674686083427,891.4268365197192
Drew Eubanks,437.4457872694104,890.7564809166323
Raul Neto,397.7726150814127,876.7364578999789
Isaiah Hartenstein,422.76026668168794,866.0168313940421
Gary Payton II,385.36482394965054,856.7517481180149
Myles Turner,365.29021178812957,856.4547611172227
Cam Reddish,360.2203158242042,849.5370534418429
Mason Plumlee,423.94620316949687,848.5962781612794
Jaylen Nowell,367.7446205635759,846.9596450916273
Ricky Rubio,359.1666585239845,838.7765481826576
Taurean Prince,334.05255306216065,831.3834693906092
Nicolas Batum,319.18114533786917,828.7189635851009
Ish Smith,388.12359420618037,821.8428463974274
Hassan Whiteside,406.46800611883424,812.9360122376685
Shake Milton,357.0766384015548,804.8664963929007
Damion Lee,334.5914053887352,800.5741464146839
JaMychal Green,357.1252201230358,800.1966282205887
Cory Joseph,345.7567585592042,798.6828458709936
Lonzo Ball,309.063782808613,798.2048894527661
Javonte Green,360.719032122688,795.1175085600902
Rudy Gay,326.8696354396726,794.737232443824
Jalen Smith,352.63098794782604,790.9616199262642
Rui Hachimura,349.949304101021,786.1266132272708
Maxi Kleber,295.2732318057289,766.2078341989841
Matisse Thybulle,324.8143158087607,752.41864499645
Payton Pritchard,292.4068560073004,751.3226883555737
Avery Bradley,295.4345144836266,743.6353990771495
Austin Rivers,289.22551903354065,742.4604865714766
Isaiah Roby,335.9970050237009,739.897362690327
Aaron Wiggins,319.1462933303793,735.0902660575119
Willy Hernangomez,363.155003145747,734.1735046587564
Kemba Walker,298.8864973318957,734.0346470886236
Jeremiah Robinson-Earl,300.7316785199325,716.6844355804227
DeMarcus Cousins,315.8340409999696,713.7552053849704
Lamar Stevens,333.36850398076683,713.7134042547992
Nassir Little,301.0952452280105,709.646727410175
Richaun Holmes,352.4226688806839,708.2297384508141
Nic Claxton,353.0071251486939,706.0142502973878
Nemanja Bjelica,303.7683796026928,705.7905953321363
Donte DiVincenzo,274.71414431188435,701.2342552304734
Kenrich Williams,305.0171090964957,694.193443023427
Tre Jones,329.6724326864345,693.766791053382
Daniel Theis,308.9796293911468,692.1308746589998
James Johnson,315.8450252822697,691.6711113323165
Blake Griffin,294.96090287776616,690.8363480312605
Danny Green,245.95403019405362,687.076807465901
Dewayne Dedmon,325.3775164464555,682.039663768921
Jeremy Lamb,282.84826647099686,681.8859174750839
Brandon Boston,300.1065405343469,675.9166458751085
CJ Elleby,292.93708227009273,674.7750312506688
Austin Reaves,276.6959895290748,669.2890101771868
Aaron Holiday,299.306930068003,668.3227938202753
Damian Jones,315.36225012106087,650.2552110512468
Ty Jerome,261.188511956116,649.2471606705293
Theo Maledon,272.1279198060054,647.2972666440716
Josh Jackson,274.7542098159318,639.231120669451
Lance Stephenson,288.3143922951521,637.989776688951
Garrett Temple,247.3592325434565,626.4563131971887
Serge Ibaka,278.7534919097523,624.5010499684174
Facundo Campazzo,246.66841486406574,623.496726156888
Kelly Olynyk,263.5972015204224,607.5731872264641
Lou Williams,266.5662127020599,605.2532470462647
Jose Alvarado,262.48905584612595,601.1490432657095
Trey Murphy III,235.29613477584533,600.5176511163194
Keita Bates-Diop,279.7120564480836,598.3885530600664
Thaddeus Young,281.41043779797167,597.3110343126754
Kessler Edwards,249.24158915495477,595.3934503542293
Tristan Thompson,296.085794744873,593.3783537001578
Armoni Brooks,212.30248470520013,592.4356804739122
John Konchar,250.673934476735,591.6449262393543
Joe Ingles,216.53663224593117,590.4876174719768
Larry Nance Jr.,269.5809515065661,587.7711667786817
Naji Marshall,256.3690244127282,586.4699714663149
Goga Bitadze,265.5042345911831,585.2075279314637
Josh Green,262.9062471711366,582.4804541530392
George Hill,243.1204117690678,579.6213208492302
