"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty","Url"
2025,"Alavés","La Liga","team",3,38,38,3419,38,48,1.26,132,86,72,10,12,16,9,23.7,11,11,0,0,0,"https://fbref.com/en/squads/8d6fd021/2024-2025/Alaves-Stats"
2025,"Alavés","La Liga","opponent",3,38,38,3420,38,38,1,133,94,78.2,16,12,10,13,34.2,11,9,1,1,10,"https://fbref.com/en/squads/8d6fd021/2024-2025/Alaves-Stats"
2025,"Angers","Ligue 1","team",2,34,34,3060,34,53,1.56,190,137,74.2,10,6,18,7,20.6,5,4,0,1,0,"https://fbref.com/en/squads/69236f98/2024-2025/Angers-Stats"
2025,"Angers","Ligue 1","opponent",2,34,34,3060,34,32,0.94,97,65,72.2,18,6,10,14,41.2,6,5,1,0,16.7,"https://fbref.com/en/squads/69236f98/2024-2025/Angers-Stats"
2025,"Arsenal","Premier League","team",1,38,38,3420,38,34,0.89,120,86,74.2,20,14,4,13,34.2,3,3,0,0,0,"https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats"
2025,"Arsenal","Premier League","opponent",1,38,38,3420,38,69,1.82,180,113,62.8,4,14,20,5,13.2,2,2,0,0,0,"https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats"
2025,"Aston Villa","Premier League","team",2,38,38,3420,38,51,1.34,156,104,68.6,19,9,10,9,23.7,3,2,1,0,33.3,"https://fbref.com/en/squads/8602292d/2024-2025/Aston-Villa-Stats"
2025,"Aston Villa","Premier League","opponent",2,38,38,3420,38,58,1.53,165,106,66.7,10,9,19,7,18.4,6,3,3,0,50,"https://fbref.com/en/squads/8602292d/2024-2025/Aston-Villa-Stats"
2025,"Atalanta","Serie A","team",3,38,38,3420,38,37,0.97,147,112,76.2,22,8,8,15,39.5,2,2,0,0,0,"https://fbref.com/en/squads/922493f3/2024-2025/Atalanta-Stats"
2025,"Atalanta","Serie A","opponent",3,38,38,3420,38,78,2.05,188,110,61.2,8,8,22,7,18.4,7,5,2,0,28.6,"https://fbref.com/en/squads/922493f3/2024-2025/Atalanta-Stats"
2025,"Athletic Club","La Liga","team",3,38,38,3417,38,29,0.76,113,83,77,19,13,6,15,39.5,5,3,2,0,40,"https://fbref.com/en/squads/2b390eca/2024-2025/Athletic-Club-Stats"
2025,"Athletic Club","La Liga","opponent",3,38,38,3420,38,54,1.42,154,98,66.9,6,13,19,9,23.7,6,3,3,0,50,"https://fbref.com/en/squads/2b390eca/2024-2025/Athletic-Club-Stats"
2025,"Atlético Madrid","La Liga","team",2,38,38,3420,38,30,0.79,116,88,78.4,22,10,6,17,44.7,5,5,0,0,0,"https://fbref.com/en/squads/db3b9613/2024-2025/Atletico-Madrid-Stats"
2025,"Atlético Madrid","La Liga","opponent",2,38,38,3420,38,68,1.79,180,112,65.6,6,10,22,6,15.8,7,6,0,1,0,"https://fbref.com/en/squads/db3b9613/2024-2025/Atletico-Madrid-Stats"
2025,"Augsburg","Bundesliga","team",2,34,34,3060,34,51,1.5,156,107,70.5,11,10,13,11,32.4,5,5,0,0,0,"https://fbref.com/en/squads/0cdc4311/2024-2025/Augsburg-Stats"
2025,"Augsburg","Bundesliga","opponent",2,34,34,3056,34,35,1.03,116,80,70.7,13,10,11,12,35.3,2,1,1,0,50,"https://fbref.com/en/squads/0cdc4311/2024-2025/Augsburg-Stats"
2025,"Auxerre","Ligue 1","team",2,34,34,3060,34,51,1.5,173,123,74,11,9,14,10,29.4,8,6,2,0,25,"https://fbref.com/en/squads/5ae09109/2024-2025/Auxerre-Stats"
2025,"Auxerre","Ligue 1","opponent",2,34,34,3060,34,48,1.41,149,101,70.5,14,9,11,7,20.6,5,4,1,0,20,"https://fbref.com/en/squads/5ae09109/2024-2025/Auxerre-Stats"
2025,"Barcelona","La Liga","team",3,38,38,3420,38,39,1.03,108,69,67.6,28,4,6,13,34.2,4,4,0,0,0,"https://fbref.com/en/squads/206d90db/2024-2025/Barcelona-Stats"
2025,"Barcelona","La Liga","opponent",3,38,38,3420,38,102,2.68,247,148,61.5,6,4,28,2,5.3,8,7,0,1,0,"https://fbref.com/en/squads/206d90db/2024-2025/Barcelona-Stats"
2025,"Bayern Munich","Bundesliga","team",4,34,34,3060,34,32,0.94,80,48,61.3,25,7,2,16,47.1,2,1,0,1,0,"https://fbref.com/en/squads/054efa67/2024-2025/Bayern-Munich-Stats"
2025,"Bayern Munich","Bundesliga","opponent",4,34,34,3060,34,99,2.91,264,168,65.9,2,7,25,1,2.9,10,9,0,1,0,"https://fbref.com/en/squads/054efa67/2024-2025/Bayern-Munich-Stats"
2025,"Betis","La Liga","team",3,38,38,3420,38,50,1.32,141,92,67.4,16,12,10,7,18.4,4,4,0,0,0,"https://fbref.com/en/squads/fc536746/2024-2025/Real-Betis-Stats"
2025,"Betis","La Liga","opponent",3,38,38,3420,38,57,1.5,186,128,73.1,10,12,16,5,13.2,10,7,3,0,30,"https://fbref.com/en/squads/fc536746/2024-2025/Real-Betis-Stats"
2025,"Bochum","Bundesliga","team",2,34,34,3060,34,68,2,153,83,57.5,5,8,21,5,14.7,6,3,2,1,40,"https://fbref.com/en/squads/b42c6323/2024-2025/Bochum-Stats"
2025,"Bochum","Bundesliga","opponent",2,34,34,3060,34,32,0.94,136,101,77.2,21,8,5,13,38.2,3,1,2,0,66.7,"https://fbref.com/en/squads/b42c6323/2024-2025/Bochum-Stats"
2025,"Bologna","Serie A","team",2,38,38,3420,38,47,1.24,106,60,57.5,16,14,8,12,31.6,3,2,1,0,33.3,"https://fbref.com/en/squads/1d8099f8/2024-2025/Bologna-Stats"
2025,"Bologna","Serie A","opponent",2,38,38,3420,38,57,1.5,173,116,70.5,8,14,16,7,18.4,7,6,1,0,14.3,"https://fbref.com/en/squads/1d8099f8/2024-2025/Bologna-Stats"
2025,"Bournemouth","Premier League","team",3,38,38,3420,38,46,1.21,172,126,75.6,15,11,12,9,23.7,4,4,0,0,0,"https://fbref.com/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats"
2025,"Bournemouth","Premier League","opponent",3,38,38,3420,38,58,1.53,199,141,73.9,12,11,15,8,21.1,7,6,1,0,14.3,"https://fbref.com/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats"
2025,"Brentford","Premier League","team",2,38,38,3420,38,57,1.5,207,153,72.9,16,8,14,8,21.1,1,1,0,0,0,"https://fbref.com/en/squads/cd051869/2024-2025/Brentford-Stats"
2025,"Brentford","Premier League","opponent",2,38,38,3420,38,66,1.74,179,113,65.9,14,8,16,8,21.1,6,5,1,0,16.7,"https://fbref.com/en/squads/cd051869/2024-2025/Brentford-Stats"
2025,"Brest","Ligue 1","team",2,34,34,3060,34,59,1.74,141,83,63.8,15,5,14,10,29.4,10,8,1,1,11.1,"https://fbref.com/en/squads/fb08dbb3/2024-2025/Brest-Stats"
2025,"Brest","Ligue 1","opponent",2,34,34,3060,34,52,1.53,160,106,71.9,14,5,15,7,20.6,9,7,2,0,22.2,"https://fbref.com/en/squads/fb08dbb3/2024-2025/Brest-Stats"
2025,"Brighton","Premier League","team",2,38,38,3420,38,59,1.55,147,90,66,16,13,9,8,21.1,9,9,0,0,0,"https://fbref.com/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats"
2025,"Brighton","Premier League","opponent",2,38,38,3420,38,66,1.74,190,126,68.9,9,13,16,5,13.2,7,7,0,0,0,"https://fbref.com/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats"
2025,"Cagliari","Serie A","team",4,38,38,3420,38,56,1.47,153,97,67.3,9,9,20,7,18.4,6,6,0,0,0,"https://fbref.com/en/squads/c4260e09/2024-2025/Cagliari-Stats"
2025,"Cagliari","Serie A","opponent",4,38,38,3420,38,40,1.05,118,80,68.6,20,9,9,15,39.5,3,3,0,0,0,"https://fbref.com/en/squads/c4260e09/2024-2025/Cagliari-Stats"
2025,"Celta Vigo","La Liga","team",2,38,38,3420,38,57,1.5,145,89,62.8,16,7,15,8,21.1,4,3,1,0,25,"https://fbref.com/en/squads/f25da7fb/2024-2025/Celta-Vigo-Stats"
2025,"Celta Vigo","La Liga","opponent",2,38,38,3420,38,59,1.55,176,117,71,15,7,16,4,10.5,9,8,1,0,11.1,"https://fbref.com/en/squads/f25da7fb/2024-2025/Celta-Vigo-Stats"
2025,"Chelsea","Premier League","team",2,38,38,3420,38,43,1.13,155,111,75.5,20,9,9,11,28.9,6,5,1,0,16.7,"https://fbref.com/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"
2025,"Chelsea","Premier League","opponent",2,38,38,3420,38,64,1.68,208,146,71.2,9,9,20,7,18.4,5,4,1,0,20,"https://fbref.com/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"
2025,"Como","Serie A","team",3,38,38,3420,38,52,1.37,143,91,68.5,13,10,15,7,18.4,7,7,0,0,0,"https://fbref.com/en/squads/28c9c3cd/2024-2025/Como-Stats"
2025,"Como","Serie A","opponent",3,38,38,3420,38,49,1.29,177,132,72.3,15,10,13,8,21.1,2,0,1,1,100,"https://fbref.com/en/squads/28c9c3cd/2024-2025/Como-Stats"
2025,"Crystal Palace","Premier League","team",1,38,38,3420,38,51,1.34,150,101,66.7,13,14,11,11,28.9,2,1,1,0,50,"https://fbref.com/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats"
2025,"Crystal Palace","Premier League","opponent",1,38,38,3420,38,51,1.34,179,129,73.2,11,14,13,8,21.1,4,3,1,0,25,"https://fbref.com/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats"
2025,"Dortmund","Bundesliga","team",2,34,34,3060,34,51,1.5,140,89,66.4,17,6,11,7,20.6,4,4,0,0,0,"https://fbref.com/en/squads/add600ae/2024-2025/Dortmund-Stats"
2025,"Dortmund","Bundesliga","opponent",2,34,34,3060,34,71,2.09,163,93,59.5,11,6,17,5,14.7,6,5,1,0,16.7,"https://fbref.com/en/squads/add600ae/2024-2025/Dortmund-Stats"
2025,"Eint Frankfurt","Bundesliga","team",2,34,34,3060,34,46,1.35,163,117,72.4,17,9,8,9,26.5,3,1,2,0,66.7,"https://fbref.com/en/squads/f0ac8ee6/2024-2025/Eintracht-Frankfurt-Stats"
2025,"Eint Frankfurt","Bundesliga","opponent",2,34,34,3060,34,68,2,177,107,63.3,8,9,17,4,11.8,5,3,2,0,40,"https://fbref.com/en/squads/f0ac8ee6/2024-2025/Eintracht-Frankfurt-Stats"
2025,"Empoli","Serie A","team",3,38,38,3420,38,59,1.55,158,99,63.3,6,13,19,6,15.8,3,1,1,1,50,"https://fbref.com/en/squads/a3d88bd8/2024-2025/Empoli-Stats"
2025,"Empoli","Serie A","opponent",3,38,38,3420,38,33,0.87,110,78,71.8,19,13,6,15,39.5,3,2,1,0,33.3,"https://fbref.com/en/squads/a3d88bd8/2024-2025/Empoli-Stats"
2025,"Espanyol","La Liga","team",1,38,38,3420,38,51,1.34,192,140,75.5,11,9,18,8,21.1,6,4,2,0,33.3,"https://fbref.com/en/squads/a8661628/2024-2025/Espanyol-Stats"
2025,"Espanyol","La Liga","opponent",1,38,38,3420,38,40,1.05,103,65,66,18,9,11,11,28.9,5,5,0,0,0,"https://fbref.com/en/squads/a8661628/2024-2025/Espanyol-Stats"
2025,"Everton","Premier League","team",1,38,38,3420,38,44,1.16,163,117,73,11,15,12,12,31.6,2,0,2,0,100,"https://fbref.com/en/squads/d3fd31cc/2024-2025/Everton-Stats"
2025,"Everton","Premier League","opponent",1,38,38,3420,38,42,1.11,141,102,71.6,12,15,11,15,39.5,2,2,0,0,0,"https://fbref.com/en/squads/d3fd31cc/2024-2025/Everton-Stats"
2025,"Fiorentina","Serie A","team",2,38,38,3420,38,41,1.08,148,106,73,19,8,11,12,31.6,3,1,2,0,66.7,"https://fbref.com/en/squads/421387cf/2024-2025/Fiorentina-Stats"
2025,"Fiorentina","Serie A","opponent",2,38,38,3420,38,60,1.58,173,114,68.8,11,8,19,8,21.1,8,6,1,1,14.3,"https://fbref.com/en/squads/421387cf/2024-2025/Fiorentina-Stats"
2025,"Freiburg","Bundesliga","team",2,34,34,3060,34,53,1.56,150,96,66,16,7,11,11,32.4,4,2,2,0,50,"https://fbref.com/en/squads/a486e511/2024-2025/Freiburg-Stats"
2025,"Freiburg","Bundesliga","opponent",2,34,34,3060,34,49,1.44,135,86,63.7,11,7,16,8,23.5,4,0,3,1,100,"https://fbref.com/en/squads/a486e511/2024-2025/Freiburg-Stats"
2025,"Fulham","Premier League","team",1,38,38,3420,38,54,1.42,159,106,67.9,15,9,14,5,13.2,4,3,1,0,25,"https://fbref.com/en/squads/fd962109/2024-2025/Fulham-Stats"
2025,"Fulham","Premier League","opponent",1,38,38,3420,38,54,1.42,171,117,70.2,14,9,15,7,18.4,4,3,1,0,25,"https://fbref.com/en/squads/fd962109/2024-2025/Fulham-Stats"
2025,"Genoa","Serie A","team",4,38,38,3420,38,49,1.29,158,110,72.8,10,13,15,11,28.9,8,6,2,0,25,"https://fbref.com/en/squads/658bf2de/2024-2025/Genoa-Stats"
2025,"Genoa","Serie A","opponent",4,38,38,3420,38,37,0.97,119,82,68.9,15,13,10,13,34.2,2,0,2,0,100,"https://fbref.com/en/squads/658bf2de/2024-2025/Genoa-Stats"
2025,"Getafe","La Liga","team",1,38,38,3420,38,39,1.03,126,86,75.4,11,9,18,9,23.7,9,8,1,0,11.1,"https://fbref.com/en/squads/7848bd64/2024-2025/Getafe-Stats"
2025,"Getafe","La Liga","opponent",1,38,38,3420,38,34,0.89,127,93,77.2,18,9,11,16,42.1,5,5,0,0,0,"https://fbref.com/en/squads/7848bd64/2024-2025/Getafe-Stats"
2025,"Girona","La Liga","team",3,38,38,3420,38,60,1.58,164,102,65.2,11,8,19,8,21.1,6,3,3,0,50,"https://fbref.com/en/squads/9024a00a/2024-2025/Girona-Stats"
2025,"Girona","La Liga","opponent",3,38,38,3420,38,44,1.16,139,95,71.2,19,8,11,11,28.9,5,4,1,0,20,"https://fbref.com/en/squads/9024a00a/2024-2025/Girona-Stats"
2025,"Gladbach","Bundesliga","team",4,34,34,3056,34,57,1.68,191,135,73.8,13,6,15,7,20.6,8,7,1,0,12.5,"https://fbref.com/en/squads/32f3ee20/2024-2025/Monchengladbach-Stats"
2025,"Gladbach","Bundesliga","opponent",4,34,34,3060,34,55,1.62,158,104,67.7,15,6,13,6,17.6,5,4,1,0,20,"https://fbref.com/en/squads/32f3ee20/2024-2025/Monchengladbach-Stats"
2025,"Heidenheim","Bundesliga","team",2,34,34,3060,34,64,1.88,171,107,66.1,8,5,21,9,26.5,6,6,0,0,0,"https://fbref.com/en/squads/18d9d2a7/2024-2025/Heidenheim-Stats"
2025,"Heidenheim","Bundesliga","opponent",2,34,34,3060,34,37,1.09,129,92,75.2,21,5,8,14,41.2,5,5,0,0,0,"https://fbref.com/en/squads/18d9d2a7/2024-2025/Heidenheim-Stats"
2025,"Hellas Verona","Serie A","team",2,38,38,3420,38,66,1.74,172,106,62.8,10,7,21,8,21.1,4,2,1,1,33.3,"https://fbref.com/en/squads/0e72edf2/2024-2025/Hellas-Verona-Stats"
2025,"Hellas Verona","Serie A","opponent",2,38,38,3420,38,34,0.89,97,66,67,21,7,10,17,44.7,2,2,0,0,0,"https://fbref.com/en/squads/0e72edf2/2024-2025/Hellas-Verona-Stats"
2025,"Hoffenheim","Bundesliga","team",2,34,34,3060,34,68,2,173,105,62.4,7,11,16,4,11.8,6,3,3,0,50,"https://fbref.com/en/squads/033ea6b8/2024-2025/Hoffenheim-Stats"
2025,"Hoffenheim","Bundesliga","opponent",2,34,34,3060,34,46,1.35,151,105,71.5,16,11,7,9,26.5,3,3,0,0,0,"https://fbref.com/en/squads/033ea6b8/2024-2025/Hoffenheim-Stats"
2025,"Holstein Kiel","Bundesliga","team",2,34,34,3060,34,80,2.35,195,117,62.1,6,7,21,2,5.9,7,6,1,0,14.3,"https://fbref.com/en/squads/2ac661d9/2024-2025/Holstein-Kiel-Stats"
2025,"Holstein Kiel","Bundesliga","opponent",2,34,34,3060,34,49,1.44,138,88,67.4,21,7,6,7,20.6,5,4,1,0,20,"https://fbref.com/en/squads/2ac661d9/2024-2025/Holstein-Kiel-Stats"
2025,"Inter","Serie A","team",2,38,38,3420,38,35,0.92,130,95,75.4,24,9,5,16,42.1,4,3,1,0,25,"https://fbref.com/en/squads/d609edc0/2024-2025/Internazionale-Stats"
2025,"Inter","Serie A","opponent",2,38,38,3420,38,79,2.08,187,111,62,5,9,24,4,10.5,9,8,0,1,0,"https://fbref.com/en/squads/d609edc0/2024-2025/Internazionale-Stats"
2025,"Ipswich Town","Premier League","team",3,38,38,3420,38,82,2.16,210,130,63.8,4,10,24,2,5.3,6,6,0,0,0,"https://fbref.com/en/squads/b74092de/2024-2025/Ipswich-Town-Stats"
2025,"Ipswich Town","Premier League","opponent",3,38,38,3420,38,36,0.95,122,87,72.1,24,10,4,14,36.8,2,2,0,0,0,"https://fbref.com/en/squads/b74092de/2024-2025/Ipswich-Town-Stats"
2025,"Juventus","Serie A","team",2,38,38,3420,38,35,0.92,119,84,74.8,18,16,4,17,44.7,5,5,0,0,0,"https://fbref.com/en/squads/e0652b02/2024-2025/Juventus-Stats"
2025,"Juventus","Serie A","opponent",2,38,38,3420,38,58,1.53,181,125,71.3,4,16,18,7,18.4,6,6,0,0,0,"https://fbref.com/en/squads/e0652b02/2024-2025/Juventus-Stats"
2025,"Las Palmas","La Liga","team",2,38,38,3420,38,61,1.61,182,120,69.2,8,8,22,4,10.5,10,5,4,1,44.4,"https://fbref.com/en/squads/0049d422/2024-2025/Las-Palmas-Stats"
2025,"Las Palmas","La Liga","opponent",2,38,38,3420,38,40,1.05,138,99,73.2,22,8,8,11,28.9,4,3,1,0,25,"https://fbref.com/en/squads/0049d422/2024-2025/Las-Palmas-Stats"
2025,"Lazio","Serie A","team",2,38,38,3420,38,49,1.29,119,72,62.2,18,11,9,9,23.7,4,4,0,0,0,"https://fbref.com/en/squads/7213da33/2024-2025/Lazio-Stats"
2025,"Lazio","Serie A","opponent",2,38,38,3420,38,61,1.61,192,131,71.4,9,11,18,6,15.8,7,6,1,0,14.3,"https://fbref.com/en/squads/7213da33/2024-2025/Lazio-Stats"
2025,"Le Havre","Ligue 1","team",2,34,34,3060,34,71,2.09,175,104,62.3,10,4,20,4,11.8,6,5,1,0,16.7,"https://fbref.com/en/squads/5c2737db/2024-2025/Le-Havre-Stats"
2025,"Le Havre","Ligue 1","opponent",2,34,34,3060,34,40,1.18,107,69,71,20,4,10,9,26.5,10,9,1,0,10,"https://fbref.com/en/squads/5c2737db/2024-2025/Le-Havre-Stats"
2025,"Lecce","Serie A","team",1,38,38,3420,38,58,1.53,181,125,72.4,8,10,20,9,23.7,10,8,1,1,11.1,"https://fbref.com/en/squads/ffcbe334/2024-2025/Lecce-Stats"
2025,"Lecce","Serie A","opponent",1,38,38,3420,38,27,0.71,123,95,80.5,20,10,8,18,47.4,4,3,1,0,25,"https://fbref.com/en/squads/ffcbe334/2024-2025/Lecce-Stats"
2025,"Leganés","La Liga","team",2,38,38,3420,38,56,1.47,175,122,72,9,13,16,11,28.9,8,7,0,1,0,"https://fbref.com/en/squads/7c6f2c78/2024-2025/Leganes-Stats"
2025,"Leganés","La Liga","opponent",2,38,38,3420,38,39,1.03,117,77,70.9,16,13,9,14,36.8,7,5,2,0,28.6,"https://fbref.com/en/squads/7c6f2c78/2024-2025/Leganes-Stats"
2025,"Leicester City","Premier League","team",3,38,38,3420,38,80,2.11,209,131,63.2,6,7,25,3,7.9,4,3,1,0,25,"https://fbref.com/en/squads/a2d435b3/2024-2025/Leicester-City-Stats"
