"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Poss","Mins_Per_90","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Att_Take","Succ_Take","Succ_percent_Take","Tkld_Take","Tkld_percent_Take","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","Url"
2025,"Alavés","La Liga","team",29,45.3,38,19070,1876,5802,8634,4809,691,19059,478,185,38.7,245,51.3,9128,45578,22946,449,346,90,598,307,10419,1148,"https://fbref.com/en/squads/8d6fd021/2024-2025/Alaves-Stats"
2025,"Alavés","La Liga","opponent",29,54.7,38,22689,2367,7584,10446,4876,659,22678,810,378,46.7,348,43,11958,63721,33531,573,440,137,645,389,14127,1309,"https://fbref.com/en/squads/8d6fd021/2024-2025/Alaves-Stats"
2025,"Angers","Ligue 1","team",30,41.2,34,17919,2146,6594,7732,3813,512,17913,613,249,40.6,331,54,9398,51759,26951,502,365,98,493,297,10991,943,"https://fbref.com/en/squads/69236f98/2024-2025/Angers-Stats"
2025,"Angers","Ligue 1","opponent",30,58.8,34,24043,1747,5934,11764,6568,921,24038,649,313,48.2,294,45.3,14633,79121,42638,784,623,185,469,330,17198,1756,"https://fbref.com/en/squads/69236f98/2024-2025/Angers-Stats"
2025,"Arsenal","Premier League","team",25,56.9,38,24056,1844,6064,10362,7808,1282,24054,726,320,44.1,316,43.5,14234,75544,40246,852,540,286,483,382,16894,1801,"https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats"
2025,"Arsenal","Premier League","opponent",25,43.1,38,19306,2948,7642,7501,4397,632,19303,595,255,42.9,260,43.7,10350,57925,30357,618,413,162,451,338,12077,927,"https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats"
2025,"Aston Villa","Premier League","team",28,50.5,38,21699,2646,7301,9257,5362,951,21693,726,327,45,299,41.2,12334,68906,36242,720,448,212,508,386,14423,1331,"https://fbref.com/en/squads/8602292d/2024-2025/Aston-Villa-Stats"
2025,"Aston Villa","Premier League","opponent",28,49.5,38,21614,2408,6804,9497,5515,886,21611,617,236,38.2,310,50.2,12031,65638,34386,688,462,205,491,327,14278,1292,"https://fbref.com/en/squads/8602292d/2024-2025/Aston-Villa-Stats"
2025,"Atalanta","Serie A","team",32,55.3,38,25020,2035,6907,11325,7007,1076,25013,645,257,39.8,330,51.2,15076,80503,42064,897,696,254,574,362,17329,1808,"https://fbref.com/en/squads/922493f3/2024-2025/Atalanta-Stats"
2025,"Atalanta","Serie A","opponent",32,44.7,38,21205,2790,8216,9243,3956,555,21203,573,234,40.8,272,47.5,11137,57758,27101,510,355,115,603,299,13265,976,"https://fbref.com/en/squads/922493f3/2024-2025/Atalanta-Stats"
2025,"Athletic Club","La Liga","team",31,48.4,38,21761,1884,6255,10334,5382,760,21755,791,328,41.5,388,49.1,11368,61421,32773,682,444,188,597,401,13522,1561,"https://fbref.com/en/squads/2b390eca/2024-2025/Athletic-Club-Stats"
2025,"Athletic Club","La Liga","opponent",31,51.6,38,23225,2765,9110,10141,4156,588,23220,633,283,44.7,296,46.8,12464,60243,29674,468,345,111,608,281,14809,1168,"https://fbref.com/en/squads/2b390eca/2024-2025/Athletic-Club-Stats"
2025,"Atlético Madrid","La Liga","team",24,52.6,38,25387,2335,8013,11493,6074,860,25380,639,276,43.2,305,47.7,15829,77524,41305,760,579,167,541,275,17707,1553,"https://fbref.com/en/squads/db3b9613/2024-2025/Atletico-Madrid-Stats"
2025,"Atlético Madrid","La Liga","opponent",24,47.4,38,23851,2405,6916,11439,5686,619,23846,694,308,44.4,319,46,13506,67569,34768,581,479,100,577,300,16092,1533,"https://fbref.com/en/squads/db3b9613/2024-2025/Atletico-Madrid-Stats"
2025,"Augsburg","Bundesliga","team",29,44.3,34,19036,2215,6126,8404,4701,681,19034,555,228,41.1,280,50.5,10166,48245,23696,450,356,97,587,297,11478,1149,"https://fbref.com/en/squads/0cdc4311/2024-2025/Augsburg-Stats"
2025,"Augsburg","Bundesliga","opponent",29,55.7,34,22943,2360,7467,10398,5239,816,22938,469,197,42,233,49.7,12814,62501,31296,604,405,140,479,231,15364,1429,"https://fbref.com/en/squads/0cdc4311/2024-2025/Augsburg-Stats"
2025,"Auxerre","Ligue 1","team",29,42.5,34,18188,2265,6744,7753,3877,614,18183,622,258,41.5,324,52.1,10101,51428,24986,484,350,137,452,346,10927,1078,"https://fbref.com/en/squads/5ae09109/2024-2025/Auxerre-Stats"
2025,"Auxerre","Ligue 1","opponent",29,57.5,34,22989,1832,6490,11361,5341,772,22981,649,290,44.7,316,48.7,13114,70683,38531,645,441,159,508,341,15775,1510,"https://fbref.com/en/squads/5ae09109/2024-2025/Auxerre-Stats"
2025,"Barcelona","La Liga","team",28,68.3,38,29805,1857,6516,14966,8535,1208,29797,909,455,50.1,375,41.3,18077,92092,49435,860,667,238,579,316,22187,2201,"https://fbref.com/en/squads/206d90db/2024-2025/Barcelona-Stats"
2025,"Barcelona","La Liga","opponent",28,31.7,38,16221,2896,7293,6081,3011,566,16217,572,249,43.5,271,47.4,7646,39978,19702,406,246,147,545,267,8434,769,"https://fbref.com/en/squads/206d90db/2024-2025/Barcelona-Stats"
2025,"Bayern Munich","Bundesliga","team",29,67.9,34,29435,1651,6130,14825,8664,1212,29425,791,383,48.4,354,44.8,18048,90011,45625,831,683,265,495,264,22614,2125,"https://fbref.com/en/squads/054efa67/2024-2025/Bayern-Munich-Stats"
2025,"Bayern Munich","Bundesliga","opponent",29,32.1,34,16085,2998,7592,6086,2581,425,16083,476,200,42,250,52.5,7861,36733,16041,286,200,81,453,256,9050,664,"https://fbref.com/en/squads/054efa67/2024-2025/Bayern-Munich-Stats"
2025,"Betis","La Liga","team",36,52.4,38,23872,2253,7466,10545,6088,921,23862,722,312,43.2,344,47.6,13910,69976,36269,679,532,228,676,378,15627,1468,"https://fbref.com/en/squads/fc536746/2024-2025/Real-Betis-Stats"
2025,"Betis","La Liga","opponent",36,47.6,38,22048,2459,7355,9895,5002,750,22044,702,302,43,342,48.7,11838,60140,30507,611,421,165,564,303,13770,1394,"https://fbref.com/en/squads/fc536746/2024-2025/Real-Betis-Stats"
2025,"Bochum","Bundesliga","team",27,45.5,34,18311,2240,6257,8021,4198,683,18308,421,167,39.7,239,56.8,9051,42773,19107,378,292,89,524,235,10164,1077,"https://fbref.com/en/squads/b42c6323/2024-2025/Bochum-Stats"
2025,"Bochum","Bundesliga","opponent",27,54.5,34,22119,2332,7245,9965,5100,898,22113,619,266,43,306,49.4,11590,58190,29503,599,420,182,526,294,13929,1435,"https://fbref.com/en/squads/b42c6323/2024-2025/Bochum-Stats"
2025,"Bologna","Serie A","team",30,58.1,38,23304,2070,6703,10984,5817,831,23297,555,221,39.8,266,47.9,13684,70992,33468,639,422,167,598,361,15512,1457,"https://fbref.com/en/squads/1d8099f8/2024-2025/Bologna-Stats"
2025,"Bologna","Serie A","opponent",30,41.9,38,18117,2704,7710,7369,3241,566,18114,611,255,41.7,283,46.3,9049,46842,21444,440,311,141,557,308,10342,869,"https://fbref.com/en/squads/1d8099f8/2024-2025/Bologna-Stats"
2025,"Bournemouth","Premier League","team",29,48.5,38,21618,2217,6444,9314,6128,1005,21611,672,294,43.8,300,44.6,11733,69030,36709,754,534,228,597,350,12855,1474,"https://fbref.com/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats"
2025,"Bournemouth","Premier League","opponent",29,51.5,38,22681,2841,8227,9246,5446,934,22677,704,326,46.3,301,42.8,12104,65710,32384,685,452,203,663,390,13911,1280,"https://fbref.com/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats"
2025,"Brentford","Premier League","team",28,47.9,38,21491,3282,8328,8055,5310,987,21485,627,265,42.3,293,46.7,11412,61938,31661,598,380,213,549,300,13153,1339,"https://fbref.com/en/squads/cd051869/2024-2025/Brentford-Stats"
2025,"Brentford","Premier League","opponent",28,52.1,38,23090,2608,7185,8991,7103,1189,23089,661,282,42.7,314,47.5,12890,68221,36588,835,579,294,507,319,14889,1547,"https://fbref.com/en/squads/cd051869/2024-2025/Brentford-Stats"
2025,"Brest","Ligue 1","team",30,48.4,34,19884,2240,6822,8962,4265,644,19875,490,209,42.7,245,50,10454,55353,26772,470,348,117,509,246,12586,1084,"https://fbref.com/en/squads/fb08dbb3/2024-2025/Brest-Stats"
2025,"Brest","Ligue 1","opponent",30,51.6,34,21061,2098,6857,9665,4731,767,21051,615,275,44.7,308,50.1,11648,59666,32094,559,389,140,565,348,13948,1507,"https://fbref.com/en/squads/fb08dbb3/2024-2025/Brest-Stats"
2025,"Brighton","Premier League","team",32,52.3,38,23677,2601,7503,10292,6153,1085,23670,797,338,42.4,382,47.9,13919,76882,41746,816,576,263,583,344,15637,1522,"https://fbref.com/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats"
2025,"Brighton","Premier League","opponent",32,47.7,38,22046,2949,8740,9148,4374,877,22037,795,353,44.4,350,44,12304,64473,31459,607,355,243,503,355,14102,1196,"https://fbref.com/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats"
2025,"Cagliari","Serie A","team",28,44.9,38,19802,2531,7637,8203,4166,645,19799,552,228,41.3,274,49.6,10679,52998,25903,506,339,115,585,294,11974,1140,"https://fbref.com/en/squads/c4260e09/2024-2025/Cagliari-Stats"
2025,"Cagliari","Serie A","opponent",28,55.1,38,23820,2217,7184,11262,5576,864,23814,498,211,42.4,238,47.8,14003,76881,38241,756,548,216,621,300,15925,1490,"https://fbref.com/en/squads/c4260e09/2024-2025/Cagliari-Stats"
2025,"Celta Vigo","La Liga","team",30,53.6,38,25123,2232,7618,12133,5574,831,25114,628,254,40.4,312,49.7,15010,75647,39392,709,500,218,558,296,17691,1649,"https://fbref.com/en/squads/f25da7fb/2024-2025/Celta-Vigo-Stats"
2025,"Celta Vigo","La Liga","opponent",30,46.4,38,22435,2437,7311,10538,4807,676,22431,638,290,45.5,286,44.8,12857,65278,31170,564,463,144,527,269,14814,1209,"https://fbref.com/en/squads/f25da7fb/2024-2025/Celta-Vigo-Stats"
2025,"Chelsea","Premier League","team",29,57.1,38,25217,2410,7564,11375,6497,1115,25212,783,326,41.6,336,42.9,14501,78314,41394,861,493,317,466,297,17888,1576,"https://fbref.com/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"
2025,"Chelsea","Premier League","opponent",29,42.9,38,20227,2916,8063,8175,4232,771,20221,627,263,41.9,273,43.5,11048,60917,31015,600,391,179,468,315,12876,1190,"https://fbref.com/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"
2025,"Como","Serie A","team",38,54.6,38,23246,2359,7668,10461,5315,791,23244,622,264,42.4,288,46.3,14108,70678,35128,658,463,202,577,360,15729,1371,"https://fbref.com/en/squads/28c9c3cd/2024-2025/Como-Stats"
2025,"Como","Serie A","opponent",38,45.4,38,20145,2452,7535,8695,4136,636,20137,653,288,44.1,303,46.4,11073,57995,28814,539,369,132,524,360,12668,1106,"https://fbref.com/en/squads/28c9c3cd/2024-2025/Como-Stats"
2025,"Crystal Palace","Premier League","team",29,42.8,38,20389,2570,7689,8441,4456,797,20385,500,209,41.8,241,48.2,10275,51887,25304,510,354,126,491,339,11783,1140,"https://fbref.com/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats"
2025,"Crystal Palace","Premier League","opponent",29,57.2,38,25561,2451,7644,11861,6291,904,25559,733,319,43.5,324,44.2,14221,76019,39539,686,501,175,582,443,17148,1566,"https://fbref.com/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats"
2025,"Dortmund","Bundesliga","team",28,58.9,34,24214,2170,6972,11525,5921,916,24208,747,341,45.6,334,44.7,14567,72244,36951,701,522,219,502,307,16922,1555,"https://fbref.com/en/squads/add600ae/2024-2025/Dortmund-Stats"
2025,"Dortmund","Bundesliga","opponent",28,41.1,34,18251,2382,6828,7494,4124,694,18247,539,231,42.9,261,48.4,9340,47128,23088,473,355,138,498,262,10851,1045,"https://fbref.com/en/squads/add600ae/2024-2025/Dortmund-Stats"
2025,"Eint Frankfurt","Bundesliga","team",26,49.7,34,21315,2574,7332,9549,4619,871,21310,609,293,48.1,272,44.7,12239,59330,29809,585,428,188,561,262,13804,1337,"https://fbref.com/en/squads/f0ac8ee6/2024-2025/Eintracht-Frankfurt-Stats"
2025,"Eint Frankfurt","Bundesliga","opponent",26,50.3,34,21445,2319,6565,9663,5361,799,21442,544,228,41.9,280,51.5,11276,56986,28875,547,422,143,447,286,14035,1273,"https://fbref.com/en/squads/f0ac8ee6/2024-2025/Eintracht-Frankfurt-Stats"
2025,"Empoli","Serie A","team",34,41.7,38,18255,2279,6509,8088,3861,562,18252,505,212,42,238,47.1,8486,43445,20518,428,284,102,594,349,9986,1004,"https://fbref.com/en/squads/a3d88bd8/2024-2025/Empoli-Stats"
2025,"Empoli","Serie A","opponent",34,58.3,38,24163,2469,7992,10874,5490,824,24160,612,234,38.2,309,50.5,13687,70351,32220,588,461,162,582,380,15959,1386,"https://fbref.com/en/squads/a3d88bd8/2024-2025/Empoli-Stats"
2025,"Espanyol","La Liga","team",27,39.8,38,18406,2655,7408,7625,3582,548,18401,546,221,40.5,266,48.7,9361,52875,28280,497,359,109,561,241,10490,991,"https://fbref.com/en/squads/a8661628/2024-2025/Espanyol-Stats"
2025,"Espanyol","La Liga","opponent",27,60.2,38,25692,1881,6559,12682,6675,1016,25686,686,300,43.7,310,45.2,15118,83083,44099,838,604,195,585,330,17827,1808,"https://fbref.com/en/squads/a8661628/2024-2025/Espanyol-Stats"
2025,"Everton","Premier League","team",26,40.9,38,19408,2462,6930,7927,4762,732,19406,636,283,44.5,305,48,9535,51039,25414,486,364,119,525,390,11309,1023,"https://fbref.com/en/squads/d3fd31cc/2024-2025/Everton-Stats"
2025,"Everton","Premier League","opponent",26,59.1,38,25864,2401,8222,11641,6229,931,25862,729,318,43.6,338,46.4,15106,79769,42431,724,520,195,549,394,17776,1616,"https://fbref.com/en/squads/d3fd31cc/2024-2025/Everton-Stats"
2025,"Fiorentina","Serie A","team",34,51,38,21431,2419,7306,9857,4479,671,21423,600,270,45,254,42.3,12538,66795,32278,620,479,164,535,306,14051,1226,"https://fbref.com/en/squads/421387cf/2024-2025/Fiorentina-Stats"
2025,"Fiorentina","Serie A","opponent",34,49,38,21017,2165,6702,9865,4642,739,21014,549,240,43.7,248,45.2,12226,66938,34823,675,429,148,530,283,13680,1265,"https://fbref.com/en/squads/421387cf/2024-2025/Fiorentina-Stats"
2025,"Freiburg","Bundesliga","team",26,48.7,34,20178,2220,6656,9166,4504,722,20174,486,215,44.2,237,48.8,10294,54032,26564,442,319,119,456,259,12683,1120,"https://fbref.com/en/squads/a486e511/2024-2025/Freiburg-Stats"
2025,"Freiburg","Bundesliga","opponent",26,51.3,34,21416,2280,7469,9517,4592,727,21412,478,222,46.4,235,49.2,12223,56939,27259,471,354,120,539,276,13965,1167,"https://fbref.com/en/squads/a486e511/2024-2025/Freiburg-Stats"
2025,"Fulham","Premier League","team",26,52.3,38,23926,2641,8095,9787,6287,954,23922,637,288,45.2,254,39.9,14026,73723,38440,786,544,213,515,281,16043,1544,"https://fbref.com/en/squads/fd962109/2024-2025/Fulham-Stats"
2025,"Fulham","Premier League","opponent",26,47.7,38,22348,2568,7282,10037,5271,825,22344,658,276,41.9,289,43.9,12382,68477,35170,654,459,180,572,390,14544,1384,"https://fbref.com/en/squads/fd962109/2024-2025/Fulham-Stats"
2025,"Genoa","Serie A","team",37,45.6,38,20080,2523,7477,8829,3958,644,20078,505,187,37,260,51.5,10006,52887,25471,470,343,112,593,289,11902,967,"https://fbref.com/en/squads/658bf2de/2024-2025/Genoa-Stats"
2025,"Genoa","Serie A","opponent",37,54.4,38,23029,2327,7364,10399,5459,832,23021,650,283,43.5,283,43.5,13102,65300,31780,609,484,166,587,389,14943,1359,"https://fbref.com/en/squads/658bf2de/2024-2025/Genoa-Stats"
2025,"Getafe","La Liga","team",30,41.8,38,17605,1770,5183,7998,4646,675,17600,631,265,42,312,49.4,7825,40262,19034,368,311,105,719,357,8611,966,"https://fbref.com/en/squads/7848bd64/2024-2025/Getafe-Stats"
2025,"Getafe","La Liga","opponent",30,58.2,38,22942,2431,8144,10481,4497,630,22933,740,332,44.9,333,45,11645,58255,30057,499,343,123,641,312,13820,1269,"https://fbref.com/en/squads/7848bd64/2024-2025/Getafe-Stats"
2025,"Girona","La Liga","team",30,56.3,38,25088,2516,7829,11533,5912,795,25083,634,291,45.9,276,43.5,15275,86324,44108,765,553,180,522,312,18040,1684,"https://fbref.com/en/squads/9024a00a/2024-2025/Girona-Stats"
2025,"Girona","La Liga","opponent",30,43.7,38,20788,2333,7034,8948,5006,779,20782,620,265,42.7,292,47.1,11640,59568,29907,582,402,202,476,277,13689,1174,"https://fbref.com/en/squads/9024a00a/2024-2025/Girona-Stats"
2025,"Gladbach","Bundesliga","team",26,49.6,34,21519,2921,8283,9361,4035,702,21514,469,206,43.9,231,49.3,11672,58507,29577,530,360,131,420,269,14002,1104,"https://fbref.com/en/squads/32f3ee20/2024-2025/Monchengladbach-Stats"
2025,"Gladbach","Bundesliga","opponent",26,50.4,34,21784,2032,5968,9969,6055,1000,21776,514,233,45.3,240,46.7,11945,60720,30982,607,463,171,501,264,14355,1509,"https://fbref.com/en/squads/32f3ee20/2024-2025/Monchengladbach-Stats"
2025,"Heidenheim","Bundesliga","team",27,43.5,34,18836,2427,7356,7915,3789,619,18831,532,232,43.6,250,47,10014,52086,26117,516,347,94,537,240,11035,959,"https://fbref.com/en/squads/18d9d2a7/2024-2025/Heidenheim-Stats"
2025,"Heidenheim","Bundesliga","opponent",27,56.5,34,23335,1995,6152,11630,5773,847,23329,607,264,43.5,294,48.4,13152,67306,34543,643,489,154,523,320,15686,1610,"https://fbref.com/en/squads/18d9d2a7/2024-2025/Heidenheim-Stats"
2025,"Hellas Verona","Serie A","team",32,38.7,38,17659,2055,5973,8025,3869,532,17657,508,228,44.9,233,45.9,8757,47190,22203,449,338,100,533,254,9765,998,"https://fbref.com/en/squads/0e72edf2/2024-2025/Hellas-Verona-Stats"
2025,"Hellas Verona","Serie A","opponent",32,61.3,38,25434,2078,7310,12632,5689,799,25430,665,281,42.3,311,46.8,14985,78285,41167,665,502,158,567,361,17750,1582,"https://fbref.com/en/squads/0e72edf2/2024-2025/Hellas-Verona-Stats"
2025,"Hoffenheim","Bundesliga","team",35,48.7,34,20591,2338,6644,9219,4904,762,20588,505,234,46.3,238,47.1,10884,51798,25062,481,391,124,451,293,12717,1208,"https://fbref.com/en/squads/033ea6b8/2024-2025/Hoffenheim-Stats"
2025,"Hoffenheim","Bundesliga","opponent",35,51.3,34,21736,2361,6905,9596,5414,898,21730,556,242,43.5,269,48.4,11712,57227,27547,529,428,143,550,301,13877,1336,"https://fbref.com/en/squads/033ea6b8/2024-2025/Hoffenheim-Stats"
2025,"Holstein Kiel","Bundesliga","team",27,43.6,34,18172,2860,7924,7386,3022,572,18167,424,184,43.4,200,47.2,8483,41193,19640,359,261,81,504,242,10453,860,"https://fbref.com/en/squads/2ac661d9/2024-2025/Holstein-Kiel-Stats"
2025,"Holstein Kiel","Bundesliga","opponent",27,56.4,34,22214,1790,5535,10403,6454,987,22207,589,253,43,277,47,12764,60246,29565,549,409,172,548,264,14660,1558,"https://fbref.com/en/squads/2ac661d9/2024-2025/Holstein-Kiel-Stats"
2025,"Inter","Serie A","team",26,59.4,38,26215,2510,7834,12203,6361,1048,26206,407,158,38.8,199,48.9,16253,81857,40921,694,566,155,423,242,19251,1717,"https://fbref.com/en/squads/d609edc0/2024-2025/Internazionale-Stats"
2025,"Inter","Serie A","opponent",26,40.6,38,18906,2505,6651,8467,3974,604,18902,492,213,43.3,239,48.6,10804,58866,29151,631,416,153,521,266,12057,1058,"https://fbref.com/en/squads/d609edc0/2024-2025/Internazionale-Stats"
2025,"Ipswich Town","Premier League","team",32,40.6,38,19091,3012,7764,7504,4032,605,19089,643,277,43.1,290,45.1,9384,53235,26144,513,330,150,538,347,11405,920,"https://fbref.com/en/squads/b74092de/2024-2025/Ipswich-Town-Stats"
2025,"Ipswich Town","Premier League","opponent",32,59.4,38,25927,2229,7646,11051,7443,1168,25921,674,323,47.9,281,41.7,15621,79646,40213,812,547,286,498,308,18201,1703,"https://fbref.com/en/squads/b74092de/2024-2025/Ipswich-Town-Stats"
2025,"Juventus","Serie A","team",29,57.2,38,25202,2320,7729,11766,5913,856,25196,658,309,47,300,45.6,15347,86896,45140,810,558,216,568,293,18089,1548,"https://fbref.com/en/squads/e0652b02/2024-2025/Juventus-Stats"
2025,"Juventus","Serie A","opponent",29,42.8,38,19571,2513,6795,8487,4493,608,19566,525,208,39.6,263,50.1,10828,59104,29297,540,459,134,486,343,12460,1087,"https://fbref.com/en/squads/e0652b02/2024-2025/Juventus-Stats"
2025,"Las Palmas","La Liga","team",34,50.7,38,22497,2561,7809,10353,4511,669,22493,571,239,41.9,288,50.4,11365,56979,28603,499,346,113,547,275,14222,1197,"https://fbref.com/en/squads/0049d422/2024-2025/Las-Palmas-Stats"
2025,"Las Palmas","La Liga","opponent",34,49.3,38,22205,2110,6608,10200,5612,931,22195,654,285,43.6,307,46.9,11832,64867,34121,684,471,197,638,312,13983,1457,"https://fbref.com/en/squads/0049d422/2024-2025/Las-Palmas-Stats"
2025,"Lazio","Serie A","team",27,55.1,38,23200,2262,6760,11033,5654,928,23193,628,296,47.1,266,42.4,13530,76731,39821,774,587,189,469,310,16281,1580,"https://fbref.com/en/squads/7213da33/2024-2025/Lazio-Stats"
2025,"Lazio","Serie A","opponent",27,44.9,38,19987,2599,7206,8767,4204,661,19983,546,250,45.8,251,46,11670,63272,31920,548,381,124,437,269,12863,1124,"https://fbref.com/en/squads/7213da33/2024-2025/Lazio-Stats"
2025,"Le Havre","Ligue 1","team",31,43.1,34,17975,2197,6737,7822,3637,581,17965,512,233,45.5,236,46.1,9506,52339,26445,538,347,93,448,311,11013,1033,"https://fbref.com/en/squads/5c2737db/2024-2025/Le-Havre-Stats"
2025,"Le Havre","Ligue 1","opponent",31,56.9,34,22664,1913,5983,11021,5860,832,22658,605,258,42.6,304,50.2,13247,67565,35670,633,469,140,535,317,15850,1632,"https://fbref.com/en/squads/5c2737db/2024-2025/Le-Havre-Stats"
2025,"Lecce","Serie A","team",31,43.8,38,19445,2594,7211,8380,4085,605,19441,547,237,43.3,248,45.3,9704,52572,25490,519,349,121,572,290,11350,1062,"https://fbref.com/en/squads/ffcbe334/2024-2025/Lecce-Stats"
2025,"Lecce","Serie A","opponent",31,56.2,38,23576,2146,6501,11073,6205,899,23566,644,283,43.9,301,46.7,13689,70792,35907,654,510,165,594,326,15603,1668,"https://fbref.com/en/squads/ffcbe334/2024-2025/Lecce-Stats"
2025,"Leganés","La Liga","team",26,42.6,38,19312,2448,7029,8720,3764,482,19305,627,302,48.2,263,41.9,9782,47776,24033,417,364,105,575,314,11128,1023,"https://fbref.com/en/squads/7c6f2c78/2024-2025/Leganes-Stats"
2025,"Leganés","La Liga","opponent",26,57.4,38,24252,1859,6747,11160,6562,957,24244,683,304,44.5,295,43.2,13277,70117,38008,754,561,191,609,338,16152,1661,"https://fbref.com/en/squads/7c6f2c78/2024-2025/Leganes-Stats"
2025,"Leicester City","Premier League","team",32,45.4,38,21748,2881,8066,9845,4048,632,21745,638,264,41.4,304,47.6,12276,61780,30421,576,365,143,500,336,13828,1072,"https://fbref.com/en/squads/a2d435b3/2024-2025/Leicester-City-Stats"
