"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Age","Poss","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","Gls_Per","Ast_Per","G+A_Per","G_minus_PK_Per","G+A_minus_PK_Per","xG_Per","xAG_Per","xG+xAG_Per","npxG_Per","npxG+xAG_Per","Url"
2025,"Napoli","Serie A","opponent",27,26,45.4,38,418,3420,38,25,18,43,24,1,4,72,1,29.6,26.3,21.7,48,537,1142,0.66,0.47,1.13,0.63,1.11,0.78,0.57,1.35,0.69,1.26,"https://fbref.com/en/squads/d48ad4ff/2024-2025/Napoli-Stats"
2025,"Newcastle Utd","Premier League","team",24,27.4,51.3,38,418,3420,38,66,50,116,61,5,6,68,1,63.8,59.5,46,105.5,759,1595,1.74,1.32,3.05,1.61,2.92,1.68,1.21,2.89,1.57,2.78,"https://fbref.com/en/squads/b2b47a98/2024-2025/Newcastle-United-Stats"
2025,"Newcastle Utd","Premier League","opponent",24,26.3,48.7,38,418,3420,38,45,41,86,44,1,2,97,3,45.5,44,35.9,79.9,667,1273,1.18,1.08,2.26,1.16,2.24,1.2,0.94,2.14,1.16,2.1,"https://fbref.com/en/squads/b2b47a98/2024-2025/Newcastle-United-Stats"
2025,"Nice","Ligue 1","team",31,26.4,47.5,34,374,3060,34,62,43,105,56,6,6,59,5,61.6,56.9,42.9,99.8,701,1320,1.82,1.26,3.09,1.65,2.91,1.81,1.26,3.07,1.67,2.93,"https://fbref.com/en/squads/132ebc33/2024-2025/Nice-Stats"
2025,"Nice","Ligue 1","opponent",31,25.8,52.5,34,374,3060,34,40,30,70,38,2,3,72,4,40.2,38,31.2,69.2,618,1314,1.18,0.88,2.06,1.12,2,1.18,0.92,2.1,1.12,2.04,"https://fbref.com/en/squads/132ebc33/2024-2025/Nice-Stats"
2025,"Nott'ham Forest","Premier League","team",23,26.1,41.2,38,418,3420,38,57,42,99,54,3,3,90,2,45.5,43.2,33,76.2,633,1125,1.5,1.11,2.61,1.42,2.53,1.2,0.87,2.07,1.14,2,"https://fbref.com/en/squads/e4a775cb/2024-2025/Nottingham-Forest-Stats"
2025,"Nott'ham Forest","Premier League","opponent",23,26.2,58.8,38,418,3420,38,46,35,81,43,3,3,104,2,48.9,46.5,35.2,81.7,966,1886,1.21,0.92,2.13,1.13,2.05,1.29,0.93,2.21,1.22,2.15,"https://fbref.com/en/squads/e4a775cb/2024-2025/Nottingham-Forest-Stats"
2025,"Osasuna","La Liga","team",25,27.4,46.1,38,418,3420,38,46,28,74,37,9,9,88,0,44,37.8,29.8,67.6,567,1221,1.21,0.74,1.95,0.97,1.71,1.16,0.78,1.94,0.99,1.78,"https://fbref.com/en/squads/03c57e2b/2024-2025/Osasuna-Stats"
2025,"Osasuna","La Liga","opponent",25,26.7,53.9,38,418,3420,38,51,38,89,44,7,7,81,6,53.7,48.3,40.7,88.9,647,1546,1.34,1,2.34,1.16,2.16,1.41,1.07,2.48,1.27,2.34,"https://fbref.com/en/squads/03c57e2b/2024-2025/Osasuna-Stats"
2025,"Paris S-G","Ligue 1","team",28,23.6,68,34,374,3060,34,89,69,158,83,6,7,37,0,88.9,83.3,70.8,154.1,936,2123,2.62,2.03,4.65,2.44,4.47,2.61,2.08,4.7,2.45,4.53,"https://fbref.com/en/squads/e2d8892c/2024-2025/Paris-Saint-Germain-Stats"
2025,"Paris S-G","Ligue 1","opponent",28,25.8,32,34,374,3060,34,34,22,56,31,3,3,61,2,31.2,29,22.7,51.6,467,874,1,0.65,1.65,0.91,1.56,0.92,0.67,1.58,0.85,1.52,"https://fbref.com/en/squads/e2d8892c/2024-2025/Paris-Saint-Germain-Stats"
2025,"Parma","Serie A","team",32,23.8,44.2,38,418,3420,38,43,31,74,37,6,7,78,6,43.1,37.6,29.3,66.9,578,1059,1.13,0.82,1.95,0.97,1.79,1.13,0.77,1.9,0.99,1.76,"https://fbref.com/en/squads/eab4234c/2024-2025/Parma-Stats"
2025,"Parma","Serie A","opponent",32,26.4,55.8,38,418,3420,38,56,42,98,51,5,5,80,3,56.4,52.6,41.7,94.3,822,1761,1.47,1.11,2.58,1.34,2.45,1.49,1.1,2.58,1.38,2.48,"https://fbref.com/en/squads/eab4234c/2024-2025/Parma-Stats"
2025,"RB Leipzig","Bundesliga","team",29,25.3,52.2,34,374,3060,34,51,36,87,48,3,4,68,5,46.6,43.4,35.6,79,516,1353,1.5,1.06,2.56,1.41,2.47,1.37,1.05,2.42,1.28,2.32,"https://fbref.com/en/squads/acbb6a5b/2024-2025/RB-Leipzig-Stats"
2025,"RB Leipzig","Bundesliga","opponent",29,26.4,47.8,34,374,3060,34,48,35,83,46,2,3,73,1,53.3,51,38.8,89.8,530,1275,1.41,1.03,2.44,1.35,2.38,1.57,1.14,2.71,1.5,2.64,"https://fbref.com/en/squads/acbb6a5b/2024-2025/RB-Leipzig-Stats"
2025,"Rayo Vallecano","La Liga","team",26,29.3,51.7,38,418,3420,38,38,27,65,38,0,1,96,3,45.4,44.6,36.2,80.9,589,1362,1,0.71,1.71,1,1.71,1.2,0.95,2.15,1.17,2.13,"https://fbref.com/en/squads/98e8af82/2024-2025/Rayo-Vallecano-Stats"
2025,"Rayo Vallecano","La Liga","opponent",26,26.4,48.3,38,418,3420,38,44,33,77,38,6,8,78,4,49,42.7,33,75.7,613,1326,1.16,0.87,2.03,1,1.87,1.29,0.87,2.16,1.12,1.99,"https://fbref.com/en/squads/98e8af82/2024-2025/Rayo-Vallecano-Stats"
2025,"Real Madrid","La Liga","team",30,26.6,60.4,38,418,3420,38,78,55,133,68,10,14,57,4,75.3,64.5,54.6,119,983,1967,2.05,1.45,3.5,1.79,3.24,1.98,1.44,3.42,1.7,3.13,"https://fbref.com/en/squads/53a2f082/2024-2025/Real-Madrid-Stats"
2025,"Real Madrid","La Liga","opponent",30,26.7,39.6,38,418,3420,38,37,27,64,34,3,3,89,6,42.8,40.8,32,72.8,648,1168,0.97,0.71,1.68,0.89,1.61,1.13,0.84,1.97,1.07,1.92,"https://fbref.com/en/squads/53a2f082/2024-2025/Real-Madrid-Stats"
2025,"Real Sociedad","La Liga","team",31,25.2,53.8,38,418,3420,38,34,22,56,30,4,4,85,4,42.5,39.3,30.9,70.3,645,1341,0.89,0.58,1.47,0.79,1.37,1.12,0.81,1.93,1.03,1.85,"https://fbref.com/en/squads/e31d1cd9/2024-2025/Real-Sociedad-Stats"
2025,"Real Sociedad","La Liga","opponent",31,26.8,46.2,38,418,3420,38,46,32,78,41,5,7,82,0,43.9,38.3,29,67.3,538,1141,1.21,0.84,2.05,1.08,1.92,1.16,0.76,1.92,1.01,1.77,"https://fbref.com/en/squads/e31d1cd9/2024-2025/Real-Sociedad-Stats"
2025,"Reims","Ligue 1","team",34,24.5,44.1,34,374,3060,34,32,19,51,31,1,2,66,6,37.4,35.9,26.5,62.3,586,1156,0.94,0.56,1.5,0.91,1.47,1.1,0.78,1.88,1.06,1.83,"https://fbref.com/en/squads/7fdd64e0/2024-2025/Reims-Stats"
2025,"Reims","Ligue 1","opponent",34,25.9,55.9,34,374,3060,34,47,32,79,43,4,5,49,3,57.4,53.5,40.5,94.1,663,1636,1.38,0.94,2.32,1.26,2.21,1.69,1.19,2.88,1.57,2.77,"https://fbref.com/en/squads/7fdd64e0/2024-2025/Reims-Stats"
2025,"Rennes","Ligue 1","team",35,25.1,50.9,34,374,3060,34,51,32,83,46,5,8,67,2,48.6,42.7,29.6,72.4,663,1440,1.5,0.94,2.44,1.35,2.29,1.43,0.87,2.3,1.26,2.13,"https://fbref.com/en/squads/b3072e00/2024-2025/Rennes-Stats"
2025,"Rennes","Ligue 1","opponent",35,25.8,49.1,34,374,3060,34,48,37,85,45,3,6,68,6,46,41.4,33.7,75.2,575,1144,1.41,1.09,2.5,1.32,2.41,1.35,0.99,2.35,1.22,2.21,"https://fbref.com/en/squads/b3072e00/2024-2025/Rennes-Stats"
2025,"Roma","Serie A","team",28,26.5,53.9,38,418,3420,38,55,35,90,47,8,8,66,1,53,46.7,35,81.7,691,1501,1.45,0.92,2.37,1.24,2.16,1.39,0.92,2.32,1.23,2.15,"https://fbref.com/en/squads/cf74a709/2024-2025/Roma-Stats"
2025,"Roma","Serie A","opponent",28,26.3,46.1,38,418,3420,38,34,21,55,30,4,4,87,6,40.9,37.7,26.7,64.4,668,1278,0.89,0.55,1.45,0.79,1.34,1.08,0.7,1.78,0.99,1.7,"https://fbref.com/en/squads/cf74a709/2024-2025/Roma-Stats"
2025,"Saint-Étienne","Ligue 1","team",32,25.9,47.1,34,374,3060,34,39,28,67,36,3,4,65,3,36.4,33.2,24.6,57.8,529,1262,1.15,0.82,1.97,1.06,1.88,1.07,0.72,1.79,0.98,1.7,"https://fbref.com/en/squads/d298ef2c/2024-2025/Saint-Etienne-Stats"
2025,"Saint-Étienne","Ligue 1","opponent",32,25.8,52.9,34,374,3060,34,75,41,116,62,13,15,55,1,74.3,62.3,47.2,109.5,714,1467,2.21,1.21,3.41,1.82,3.03,2.18,1.39,3.57,1.83,3.22,"https://fbref.com/en/squads/d298ef2c/2024-2025/Saint-Etienne-Stats"
2025,"Sevilla","La Liga","team",35,26.1,50.5,38,418,3420,38,39,32,71,37,2,3,98,8,42.7,40.3,30.8,71.1,594,1193,1.03,0.84,1.87,0.97,1.82,1.12,0.81,1.93,1.06,1.87,"https://fbref.com/en/squads/ad2be733/2024-2025/Sevilla-Stats"
2025,"Sevilla","La Liga","opponent",35,26.8,49.5,38,418,3420,38,54,37,91,49,5,6,93,4,47.4,42.7,34,76.7,551,1262,1.42,0.97,2.39,1.29,2.26,1.25,0.89,2.14,1.12,2.02,"https://fbref.com/en/squads/ad2be733/2024-2025/Sevilla-Stats"
2025,"Southampton","Premier League","team",36,25.2,48.5,38,418,3420,38,25,16,41,25,0,2,89,3,32.7,30.9,24.8,55.8,640,1127,0.66,0.42,1.08,0.66,1.08,0.86,0.65,1.51,0.81,1.47,"https://fbref.com/en/squads/33c895d4/2024-2025/Southampton-Stats"
2025,"Southampton","Premier League","opponent",36,26.2,51.5,38,418,3420,38,86,61,147,79,7,9,54,1,84.8,77.9,63,140.9,814,1647,2.26,1.61,3.87,2.08,3.68,2.23,1.66,3.89,2.05,3.71,"https://fbref.com/en/squads/33c895d4/2024-2025/Southampton-Stats"
2025,"St. Pauli","Bundesliga","team",28,26.9,44.2,34,374,3060,34,26,22,48,25,1,2,53,4,35.3,33.7,26.3,60,418,1073,0.76,0.65,1.41,0.74,1.38,1.04,0.77,1.81,0.99,1.76,"https://fbref.com/en/squads/54864664/2024-2025/St-Pauli-Stats"
2025,"St. Pauli","Bundesliga","opponent",28,26.5,55.8,34,374,3060,34,40,30,70,39,1,5,75,1,45.4,41.5,35,76.4,484,1388,1.18,0.88,2.06,1.15,2.03,1.33,1.03,2.36,1.22,2.25,"https://fbref.com/en/squads/54864664/2024-2025/St-Pauli-Stats"
2025,"Strasbourg","Ligue 1","team",30,21.4,50.1,34,374,3060,34,54,43,97,52,2,2,71,3,49.3,47.7,38.5,86.2,563,1204,1.59,1.26,2.85,1.53,2.79,1.45,1.13,2.58,1.4,2.53,"https://fbref.com/en/squads/c0d3eab4/2024-2025/Strasbourg-Stats"
2025,"Strasbourg","Ligue 1","opponent",30,25.9,49.9,34,374,3060,34,42,21,63,34,8,9,72,2,56.1,49.3,39.1,88.3,537,1361,1.24,0.62,1.85,1,1.62,1.65,1.15,2.8,1.45,2.6,"https://fbref.com/en/squads/c0d3eab4/2024-2025/Strasbourg-Stats"
2025,"Stuttgart","Bundesliga","team",29,24.9,57.2,34,374,3060,34,61,45,106,59,2,6,72,5,62.3,57.7,45.3,103,545,1493,1.79,1.32,3.12,1.74,3.06,1.83,1.33,3.17,1.7,3.03,"https://fbref.com/en/squads/598bc722/2024-2025/Stuttgart-Stats"
2025,"Stuttgart","Bundesliga","opponent",29,26.6,42.8,34,374,3060,34,52,34,86,50,2,3,96,7,46.9,44.5,33.8,78.3,443,1023,1.53,1,2.53,1.47,2.47,1.38,0.99,2.37,1.31,2.3,"https://fbref.com/en/squads/598bc722/2024-2025/Stuttgart-Stats"
2025,"Torino","Serie A","team",31,26.7,47.5,38,418,3420,38,36,21,57,34,2,4,80,3,34.6,31.6,22.5,54,529,1113,0.95,0.55,1.5,0.89,1.45,0.91,0.59,1.5,0.83,1.42,"https://fbref.com/en/squads/105360fe/2024-2025/Torino-Stats"
2025,"Torino","Serie A","opponent",31,26.3,52.5,38,418,3420,38,43,30,73,40,3,7,63,1,50.4,44.9,34.7,79.7,722,1346,1.13,0.79,1.92,1.05,1.84,1.33,0.91,2.24,1.18,2.1,"https://fbref.com/en/squads/105360fe/2024-2025/Torino-Stats"
2025,"Tottenham","Premier League","team",31,25,54.7,38,418,3420,38,61,47,108,58,3,4,72,1,58.8,55.7,44.4,100.1,840,1593,1.61,1.24,2.84,1.53,2.76,1.55,1.17,2.72,1.47,2.63,"https://fbref.com/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"
2025,"Tottenham","Premier League","opponent",31,26.2,45.3,38,418,3420,38,61,43,104,58,3,3,85,3,63.3,60.9,46.3,107.2,660,1330,1.61,1.13,2.74,1.53,2.66,1.67,1.22,2.88,1.6,2.82,"https://fbref.com/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"
2025,"Toulouse","Ligue 1","team",27,25.2,45,34,374,3060,34,42,34,76,39,3,4,54,3,49.1,46,34.7,80.6,543,1219,1.24,1,2.24,1.15,2.15,1.45,1.02,2.46,1.35,2.37,"https://fbref.com/en/squads/3f8c4b5f/2024-2025/Toulouse-Stats"
2025,"Toulouse","Ligue 1","opponent",27,25.8,55,34,374,3060,34,40,28,68,39,1,2,77,3,36.8,35.2,26,61.2,589,1326,1.18,0.82,2,1.15,1.97,1.08,0.77,1.85,1.03,1.8,"https://fbref.com/en/squads/3f8c4b5f/2024-2025/Toulouse-Stats"
2025,"Udinese","Serie A","team",31,26.4,47.2,38,418,3420,38,41,28,69,39,2,4,88,5,38.2,35,27.2,62.1,566,1160,1.08,0.74,1.82,1.03,1.76,1.01,0.71,1.72,0.92,1.64,"https://fbref.com/en/squads/04eea015/2024-2025/Udinese-Stats"
2025,"Udinese","Serie A","opponent",31,26.5,52.8,38,418,3420,38,51,30,81,44,7,8,61,5,52.6,46.5,35.6,82.1,582,1282,1.34,0.79,2.13,1.16,1.95,1.39,0.94,2.32,1.22,2.16,"https://fbref.com/en/squads/04eea015/2024-2025/Udinese-Stats"
2025,"Union Berlin","Bundesliga","team",28,27.2,40,34,374,3060,34,36,25,61,33,3,3,72,1,37,34.7,23.5,58.2,390,1049,1.06,0.74,1.79,0.97,1.71,1.09,0.69,1.78,1.02,1.71,"https://fbref.com/en/squads/7a41008f/2024-2025/Union-Berlin-Stats"
2025,"Union Berlin","Bundesliga","opponent",28,26.5,60,34,374,3060,34,49,36,85,47,2,6,57,2,47.8,43,32.4,75.4,595,1491,1.44,1.06,2.5,1.38,2.44,1.4,0.95,2.36,1.27,2.22,"https://fbref.com/en/squads/7a41008f/2024-2025/Union-Berlin-Stats"
2025,"Valencia","La Liga","team",32,24.7,48.4,38,418,3420,38,43,26,69,38,5,5,86,1,43.3,39.3,30,69.3,572,1340,1.13,0.68,1.82,1,1.68,1.14,0.79,1.93,1.03,1.82,"https://fbref.com/en/squads/dcc91a7b/2024-2025/Valencia-Stats"
2025,"Valencia","La Liga","opponent",32,26.8,51.6,38,418,3420,38,51,38,89,45,6,9,86,3,51.9,44.9,37.2,82,589,1419,1.34,1,2.34,1.18,2.18,1.36,0.98,2.34,1.18,2.16,"https://fbref.com/en/squads/dcc91a7b/2024-2025/Valencia-Stats"
2025,"Valladolid","La Liga","team",38,25.6,42.8,38,418,3420,38,26,15,41,21,5,5,91,5,34.6,30.7,25.7,56.4,476,991,0.68,0.39,1.08,0.55,0.95,0.91,0.68,1.59,0.81,1.48,"https://fbref.com/en/squads/17859612/2024-2025/Valladolid-Stats"
2025,"Valladolid","La Liga","opponent",38,27,57.2,38,418,3420,38,89,62,151,82,7,7,86,3,67.6,62.4,46.8,109.2,724,1753,2.34,1.63,3.97,2.16,3.79,1.78,1.23,3.01,1.64,2.87,"https://fbref.com/en/squads/17859612/2024-2025/Valladolid-Stats"
2025,"Venezia","Serie A","team",36,25.4,45.1,38,418,3420,38,31,16,47,27,4,5,75,2,35.8,32,22.2,54.2,507,1066,0.82,0.42,1.24,0.71,1.13,0.94,0.58,1.53,0.84,1.43,"https://fbref.com/en/squads/af5d5982/2024-2025/Venezia-Stats"
2025,"Venezia","Serie A","opponent",36,26.4,54.9,38,418,3420,38,53,35,88,43,10,11,70,2,57.5,48.9,39.3,88.2,719,1397,1.39,0.92,2.32,1.13,2.05,1.51,1.03,2.55,1.29,2.32,"https://fbref.com/en/squads/af5d5982/2024-2025/Venezia-Stats"
2025,"Villarreal","La Liga","team",31,26.7,47.6,38,418,3420,38,69,51,120,64,5,7,96,4,64.8,59.1,49.7,108.8,693,1522,1.82,1.34,3.16,1.68,3.03,1.71,1.31,3.01,1.56,2.86,"https://fbref.com/en/squads/2a8183b3/2024-2025/Villarreal-Stats"
2025,"Villarreal","La Liga","opponent",31,26.8,52.4,38,418,3420,38,50,28,78,43,7,8,99,7,44.4,38.2,28.5,66.7,720,1597,1.32,0.74,2.05,1.13,1.87,1.17,0.75,1.92,1.01,1.75,"https://fbref.com/en/squads/2a8183b3/2024-2025/Villarreal-Stats"
2025,"Werder Bremen","Bundesliga","team",23,27.5,50,34,374,3060,34,53,38,91,50,3,5,75,4,49.1,45.7,37.4,83.1,495,1351,1.56,1.12,2.68,1.47,2.59,1.45,1.1,2.54,1.34,2.44,"https://fbref.com/en/squads/62add3bf/2024-2025/Werder-Bremen-Stats"
2025,"Werder Bremen","Bundesliga","opponent",23,26.3,50.1,34,374,3060,34,54,39,93,51,3,3,81,8,48.1,45.7,36.3,82.1,540,1336,1.59,1.15,2.74,1.5,2.65,1.41,1.07,2.48,1.35,2.41,"https://fbref.com/en/squads/62add3bf/2024-2025/Werder-Bremen-Stats"
2025,"West Ham","Premier League","team",27,28.1,48.4,38,418,3420,38,43,29,72,40,3,3,82,3,47,44.7,33.9,78.6,632,1222,1.13,0.76,1.89,1.05,1.82,1.24,0.89,2.13,1.18,2.07,"https://fbref.com/en/squads/7c21e445/2024-2025/West-Ham-United-Stats"
2025,"West Ham","Premier League","opponent",27,26.1,51.6,38,418,3420,38,59,45,104,56,3,3,56,1,59.7,57.4,47.6,105,832,1622,1.55,1.18,2.74,1.47,2.66,1.57,1.25,2.82,1.51,2.76,"https://fbref.com/en/squads/7c21e445/2024-2025/West-Ham-United-Stats"
2025,"Wolfsburg","Bundesliga","team",27,25.2,46.1,34,374,3060,34,53,38,91,49,4,5,75,3,47.5,43.4,33,76.4,489,1205,1.56,1.12,2.68,1.44,2.56,1.4,0.97,2.37,1.28,2.25,"https://fbref.com/en/squads/4eaa11d7/2024-2025/Wolfsburg-Stats"
2025,"Wolfsburg","Bundesliga","opponent",27,26.8,53.9,34,374,3060,34,53,43,96,51,2,3,67,2,52.5,50.1,40.5,90.6,549,1348,1.56,1.26,2.82,1.5,2.76,1.55,1.19,2.74,1.47,2.67,"https://fbref.com/en/squads/4eaa11d7/2024-2025/Wolfsburg-Stats"
2025,"Wolves","Premier League","team",32,26.9,48.1,38,418,3420,38,53,42,95,53,0,0,79,2,43.7,43.7,35.4,79.1,607,1185,1.39,1.11,2.5,1.39,2.5,1.15,0.93,2.08,1.15,2.08,"https://fbref.com/en/squads/8cec06e1/2024-2025/Wolverhampton-Wanderers-Stats"
2025,"Wolves","Premier League","opponent",32,26.2,51.9,38,418,3420,38,66,47,113,59,7,9,85,3,58.1,51,41.5,92.5,767,1534,1.74,1.24,2.97,1.55,2.79,1.53,1.09,2.62,1.34,2.44,"https://fbref.com/en/squads/8cec06e1/2024-2025/Wolverhampton-Wanderers-Stats"
